Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,29-106,1992,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,26-337,1994,27,2315,25.7,3,5,3,0,0,5,1,0.12,0.19,0.31,0.12,0.31,Matches
Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,20-157,2000,10,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,24-063,1997,7,383,4.3,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,Matches
Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,27-008,1994,21,1777,19.7,0,4,0,0,0,4,0,0,0.2,0.2,0,0.2,Matches
Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,23-260,1997,19,1290,14.3,5,2,5,0,0,0,0,0.35,0.14,0.49,0.35,0.49,Matches
Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,19-079,2002,4,344,3.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,23-263,1997,29,2096,23.3,9,8,9,0,0,6,0,0.39,0.34,0.73,0.39,0.73,Matches
Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,23-021,1998,29,2409,26.8,6,4,6,0,0,0,0,0.22,0.15,0.37,0.22,0.37,Matches
Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,23-021,1998,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,32-057,1989,1,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,22-343,1998,25,931,10.3,2,3,2,0,0,5,0,0.19,0.29,0.48,0.19,0.48,Matches
Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,21-116,2000,25,2004,22.3,2,2,2,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,26-163,1994,15,1053,11.7,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,30-331,1990,30,2700,30,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,33-117,1988,16,1070,11.9,2,0,2,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,21-271,1999,30,2281,25.3,5,3,5,0,0,6,0,0.2,0.12,0.32,0.2,0.32,Matches
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,24-251,1996,5,36,0.4,0,1,0,0,0,1,0,0,2.5,2.5,0,2.5,Matches
Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,27-006,1994,29,1938,21.5,8,6,8,0,0,3,0,0.37,0.28,0.65,0.37,0.65,Matches
Sheraldo Becker\Sheraldo-Becker,nl NED,FWMF,Union Berlin,26-079,1995,16,1072,11.9,3,2,3,0,0,2,0,0.25,0.17,0.42,0.25,0.42,Matches
Timo Becker\Timo-Becker,de GER,DF,Schalke 04,24-035,1997,16,1282,14.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,29-187,1991,3,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,18-194,2002,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
