Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Gabriele Moncini\Gabriele-Moncini,it ITA,MF,SPAL,22,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Cristóbal Montiel Rodríguez\Cristobal-Montiel-Rodriguez,es ESP,FW,Fiorentina,18,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,Matches
Emiliano Moretti\Emiliano-Moretti,it ITA,DF,Torino,37,1981,22.3,5,0,0,27,23,0,3,19,20,0,0,0,222,34,21,61.8,Matches
Samuel Mráz\Samuel-Mraz,sk SVK,FW,Empoli,21,1997,1.9,0,0,0,1,0,0,0,0,0,0,0,0,6,2,4,33.3,Matches
Gianni Munari\Gianni-Munari,it ITA,MF,Parma,35,1983,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100,Matches
Alessandro Murgia\Alessandro-Murgia,it ITA,MF,SPAL,21,1996,11.9,1,0,0,16,30,1,10,13,18,0,0,0,94,3,12,20,Matches
Alessandro Murgia\Alessandro-Murgia,it ITA,MF,Lazio,21,1996,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,100,Matches
Luis Muriel\Luis-Muriel,co COL,FW,Fiorentina,27,1991,16,1,0,0,21,15,3,25,6,10,0,0,0,87,12,30,28.6,Matches
Nicola Murru\Nicola-Murru,it ITA,DF,Sampdoria,23,1994,32.6,9,0,0,37,32,1,95,33,61,0,1,0,333,31,27,53.4,Matches
Mateo Musacchio\Mateo-Musacchio,ar ARG,DF,Milan,27,1990,29,2,0,0,28,17,2,1,16,18,1,1,0,225,32,32,50,Matches
Juan Musso\Juan-Musso,ar ARG,GK,Udinese,24,1994,29,4,0,0,1,6,0,0,0,0,0,1,0,132,0,0,,Matches
Ádám Nagy\Adam-Nagy,hu HUN,MF,Bologna,23,1995,10.8,3,1,1,10,8,0,5,16,22,0,0,0,128,3,7,30,Matches
Radja Nainggolan\Radja-Nainggolan,be BEL,MF,Inter,30,1988,21.9,3,0,0,32,26,2,37,7,29,0,0,0,183,14,20,41.2,Matches
Angelo Ndrecka\Angelo-Ndrecka,al ALB,DF,Chievo,16,2001,1,0,0,0,1,1,0,1,1,1,0,0,0,8,0,0,,Matches
Pedro Neto\Pedro-Neto,pt POR,FW,Lazio,18,2000,0.5,1,0,0,2,2,0,2,0,0,0,0,0,3,0,1,0,Matches
Hans Nicolussi Caviglia\Hans-Nicolussi-Caviglia,it ITA,MFFW,Juventus,18,2000,0.6,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,100,Matches
Dimitris Nikolaou\Dimitris-Nikolaou,gr GRE,DF,Empoli,19,1998,3.9,0,0,0,2,0,0,1,2,2,0,1,0,19,3,4,42.9,Matches
Nicolas Nkoulou\Nicolas-Nkoulou,cm CMR,DF,Torino,28,1990,35.7,7,1,1,36,29,1,0,55,25,0,0,0,378,76,31,71,Matches
Bram Nuytinck\Bram-Nuytinck,nl NED,DF,Udinese,28,1990,23.6,4,1,0,25,4,0,3,17,40,0,0,0,187,29,19,60.4,Matches
Steven Nzonzi\Steven-Nzonzi,fr FRA,MF,Roma,29,1988,29.1,7,0,0,33,15,0,8,23,45,0,0,0,314,92,33,73.6,Matches
Christian Nørgaard\Christian-Norgaard,dk DEN,MF,Fiorentina,24,1994,3.6,0,0,0,11,3,0,0,6,6,0,0,0,47,8,5,61.5,Matches
