Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Bruma\Bruma,pt POR,MFFW,RB Leipzig,22,1994,28,16,1611,17.9,4,2,4,0,0,0,0,0.22,0.11,0.34,0.22,0.34,2.7,2.7,3.6,6.2,0.15,0.2,0.35,0.15,0.35,Matches
Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,25,1991,11,11,990,11,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.02,0.02,0.02,Matches
Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,DF,Dortmund,18,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,MFDF,Stuttgart,18,1998,4,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Onur Bulut\Onur-Bulut,tr TUR,MF,Freiburg,23,1994,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.3,0.3,0,0.3,Matches
Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,28,1989,32,24,2324,25.8,11,4,11,0,0,8,0,0.43,0.15,0.58,0.43,0.58,8.7,8.7,5.1,13.8,0.34,0.2,0.53,0.34,0.53,Matches
Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,26,1990,33,33,2969,33,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dženis Burni?\Dzenis-Burnic,de GER,MFDF,Stuttgart,19,1998,6,3,305,3.4,0,0,0,0,0,3,1,0,0,0,0,0,0.2,0.2,0.4,0.7,0.07,0.12,0.19,0.07,0.19,Matches
Jakub B?aszczykowski\Jakub-Blaszczykowski,pl POL,FWMF,Wolfsburg,31,1985,9,6,520,5.8,1,0,1,0,0,0,0,0.17,0,0.17,0.17,0.17,0.3,0.3,0.8,1.1,0.05,0.13,0.19,0.05,0.19,Matches
Caiuby\Caiuby,br BRA,FWMF,Augsburg,29,1988,33,32,2855,31.7,5,7,5,0,0,8,0,0.16,0.22,0.38,0.16,0.38,5,5,3.7,8.7,0.16,0.12,0.27,0.16,0.27,Matches
Luca Caldirola\Luca-Caldirola,it ITA,DF,Werder Bremen,26,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniel Caligiuri\Daniel-Caligiuri,it ITA,DFMF,Schalke 04,29,1988,33,32,2917,32.4,6,10,3,3,3,4,0,0.19,0.31,0.49,0.09,0.4,4.6,2.4,4.7,7,0.14,0.14,0.29,0.07,0.22,Matches
Ignacio Camacho\Ignacio-Camacho,es ESP,MFDF,Wolfsburg,27,1990,11,11,951,10.6,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.03,0.04,0.06,0.03,0.06,Matches
Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,25,1992,34,34,3060,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches
Gonzalo Castro\Gonzalo-Castro,de GER,MF,Dortmund,30,1987,19,16,1206,13.4,0,2,0,0,0,3,0,0,0.15,0.15,0,0.15,1.6,1.6,3.4,5,0.12,0.26,0.37,0.12,0.37,Matches
Marijan ?avar\Marijan-Cavar,ba BIH,FWMF,Eint Frankfurt,19,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Timothy Chandler\Timothy-Chandler,us USA,DFMF,Eint Frankfurt,27,1990,24,22,1892,21,2,4,2,0,0,3,0,0.1,0.19,0.29,0.1,0.29,2.2,2.2,2.6,4.7,0.1,0.12,0.23,0.1,0.23,Matches
Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,30,1987,28,24,2183,24.3,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.7,0.9,0.01,0.03,0.04,0.01,0.04,Matches
Christian Clemens\Christian-Clemens,de GER,MFFW,Köln,25,1991,14,6,646,7.2,1,0,1,0,0,2,0,0.14,0,0.14,0.14,0.14,1.2,1.2,1.2,2.4,0.17,0.17,0.34,0.17,0.34,Matches
Coke\Coke,es ESP,MF,Schalke 04,30,1987,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,21,1996,21,10,1153,12.8,3,3,3,0,0,0,0,0.23,0.23,0.47,0.23,0.47,2.6,2.6,2.9,5.6,0.21,0.23,0.44,0.21,0.44,Matches
Marvin Compper\Marvin-Compper,de GER,DF,RB Leipzig,32,1985,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jhon Córdoba\Jhon-Cordoba,co COL,FW,Köln,24,1993,18,9,957,10.6,0,2,0,0,0,1,0,0,0.19,0.19,0,0.19,4.3,4.3,0.7,5,0.4,0.07,0.47,0.4,0.47,Matches
Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Augsburg,19,1997,26,3,586,6.5,2,1,2,0,0,3,0,0.31,0.15,0.46,0.31,0.46,2,2,0.9,2.9,0.31,0.14,0.45,0.31,0.45,Matches
