Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,27-253,1993,3,44,0.5,1,0,0,1,1,1,0,2.05,0,2.05,0,0,Matches
Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Valladolid,27-253,1993,12,387,4.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Koba Koindredi\Koba-Koindredi,fr FRA,MF,Valencia,19-184,2001,2,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Koke\Koke,es ESP,MF,Atlético Madrid,29-111,1992,32,2635,29.3,1,2,1,0,0,8,0,0.03,0.07,0.1,0.03,0.1,Matches
Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,28-073,1993,5,440,4.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Atlético Madrid,28-073,1993,20,472,5.2,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,25-298,1995,3,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,22-168,1998,29,2525,28.1,2,1,2,0,0,4,0,0.07,0.04,0.11,0.07,0.11,Matches
Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,31-115,1990,27,2027,22.5,3,8,3,0,0,6,0,0.13,0.36,0.49,0.13,0.49,Matches
Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Getafe,19-329,2001,14,661,7.3,0,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Villarreal,19-329,2001,13,299,3.3,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Kuki\Kuki,es ESP,MF,Valladolid,22-359,1998,2,30,0.3,0,1,0,0,0,0,0,0,3,3,0,3,Matches
Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,31-175,1989,28,2271,25.2,0,0,0,0,0,5,1,0,0,0,0,0,Matches
Diego Lainez\Diego-Lainez,mx MEX,FWMF,Betis,20-324,2000,17,713,7.9,0,1,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches
Toni Lato\Toni-Lato,es ESP,DF,Valencia,23-159,1997,12,497,5.5,1,0,1,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
Lauti\Lauti,uy URU,MFFW,Celta Vigo,20-079,2001,1,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,24-169,1996,29,2387,26.5,0,1,0,0,0,5,1,0,0.04,0.04,0,0.04,Matches
Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,28-075,1993,30,2700,30,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,29-344,1991,29,2565,28.5,1,0,1,0,0,10,0,0.04,0,0.04,0.04,0.04,Matches
Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,27-360,1993,16,540,6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,25-168,1995,25,1298,14.4,1,3,1,0,0,3,0,0.07,0.21,0.28,0.07,0.28,Matches
Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,25-316,1995,29,2123,23.6,1,0,1,0,0,8,1,0.04,0,0.04,0.04,0.04,Matches
Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,34-156,1986,22,889,9.9,1,2,1,0,0,2,0,0.1,0.2,0.3,0.1,0.3,Matches
Sergio León\Sergio-Leon,es ESP,FW,Levante,32-113,1989,25,693,7.7,1,0,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,27-256,1993,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Llorente\Marcos-Llorente,es ESP,MFDF,Atlético Madrid,26-089,1995,32,2529,28.1,11,10,11,0,0,6,0,0.39,0.36,0.75,0.39,0.75,Matches
Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,23-021,1998,20,1066,11.8,0,2,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,37-179,1983,17,950,10.6,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,33-111,1988,16,471,5.2,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches
Javi López\Javi-Lopez,es ESP,DFMF,Alavés,19-118,2002,9,248,2.8,0,0,0,0,0,1,1,0,0,0,0,0,Matches
Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,21-005,2000,14,441,4.9,3,0,3,0,0,0,0,0.61,0,0.61,0.61,0.61,Matches
Unai López\Unai-Lopez,es ESP,MF,Athletic Club,25-181,1995,22,1214,13.5,3,0,3,0,0,6,0,0.22,0,0.22,0.22,0.22,Matches
Anthony Lozano\Anthony-Lozano,hn HON,FW,Cádiz,28-004,1993,25,1257,14,3,1,3,0,0,4,0,0.21,0.07,0.29,0.21,0.29,Matches
Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,26-021,1995,2,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,25-339,1995,29,2564,28.5,1,5,1,0,0,6,0,0.04,0.18,0.21,0.04,0.21,Matches
José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,33-280,1987,33,2189,24.3,10,3,10,0,1,2,0,0.41,0.12,0.53,0.41,0.53,Matches
Luisinho\Luisinho,pt POR,DF,Huesca,35-359,1985,5,179,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Luismi\Luismi,es ESP,MFDF,Elche,28-359,1992,10,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,28-081,1993,26,1680,18.7,2,4,2,0,1,1,0,0.11,0.21,0.32,0.11,0.32,Matches
Pablo Maffeo\Pablo-Maffeo,es ESP,DF,Huesca,23-291,1997,20,1619,18,1,4,1,0,0,4,0,0.06,0.22,0.28,0.06,0.28,Matches
Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,20-360,2000,2,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nemanja Maksimovi?\Nemanja-Maksimovic,rs SRB,MF,Getafe,26-093,1995,30,2288,25.4,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches
Filip Malbaši?\Filip-Malbasic,rs SRB,FWMF,Cádiz,28-162,1992,24,667,7.4,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,29-311,1991,29,2526,28.1,3,1,3,0,0,8,0,0.11,0.04,0.14,0.11,0.14,Matches
Mickael Malsa\Mickael-Malsa,mq MTQ,MF,Levante,25-199,1995,31,2049,22.8,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,29-189,1991,27,2302,25.6,3,1,3,0,0,5,2,0.12,0.04,0.16,0.12,0.16,Matches
Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,30-075,1991,5,313,3.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Maranhão\Maranhao,br BRA,FW,Valladolid,24-191,1996,18,1007,11.2,3,0,3,0,0,1,0,0.27,0,0.27,0.27,0.27,Matches
Marcelo\Marcelo,br BRA,DF,Real Madrid,32-352,1988,13,899,10,0,2,0,0,0,3,0,0,0.2,0.2,0,0.2,Matches
Iván Marcone\Ivan-Marcone,ar ARG,MF,Elche,30-330,1990,28,2403,26.7,0,0,0,0,0,10,1,0,0,0,0,0,Matches
Óscar de Marcos\Oscar-de-Marcos,es ESP,DFMF,Athletic Club,32-015,1989,20,1174,13,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,Matches
José Mari\Jose-Mari,es ESP,MF,Cádiz,33-144,1987,18,1112,12.4,0,0,0,0,0,4,0,0,0,0,0,0,Matches
José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,26-099,1995,19,1594,17.7,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Mariano\Mariano,do DOM,FW,Real Madrid,27-271,1993,14,476,5.3,1,0,1,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
