Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Ádám Nagy\Adam-Nagy,hu HUN,MF,Bologna,22,1995,12,8,711,7.9,1,0,1,0,0,1,0,0.13,0,0.13,0.13,0.13,0.2,0.2,0.4,0.7,0.03,0.06,0.08,0.03,0.08,Matches
Radja Nainggolan\Radja-Nainggolan,be BEL,MF,Roma,29,1988,31,31,2613,29,4,7,4,0,0,7,2,0.14,0.24,0.38,0.14,0.38,3.7,3.7,6.9,10.6,0.13,0.24,0.36,0.13,0.36,Matches
Andrea Nalini\Andrea-Nalini,it ITA,FWMF,Crotone,27,1990,23,19,1638,18.2,0,2,0,0,0,2,0,0,0.11,0.11,0,0.11,0.7,0.7,3.5,4.2,0.04,0.19,0.23,0.04,0.23,Matches
Nani\Nani,pt POR,MFFW,Lazio,30,1986,18,2,387,4.3,3,1,3,0,0,2,0,0.7,0.23,0.93,0.7,0.93,1.2,1.2,1.2,2.4,0.29,0.3,0.59,0.29,0.59,Matches
M'Baye Niang\MBaye-Niang,sn SEN,FW,Torino,22,1994,26,18,1532,17,4,2,4,0,0,5,0,0.23,0.12,0.35,0.23,0.35,3.6,3.6,1.1,4.7,0.21,0.06,0.28,0.21,0.28,Matches
Nicolas Nkoulou\Nicolas-Nkoulou,cm CMR,DF,Torino,27,1990,37,37,3258,36.2,2,0,2,0,0,4,0,0.06,0,0.06,0.06,0.06,1.2,1.2,0.1,1.4,0.03,0,0.04,0.03,0.04,Matches
Bram Nuytinck\Bram-Nuytinck,nl NED,DF,Udinese,27,1990,27,26,2362,26.2,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,0.5,1.6,0.04,0.02,0.06,0.04,0.06,Matches
Simeon Nwankwo\Simeon-Nwankwo,ng NGA,FW,Crotone,25,1992,23,11,1219,13.5,7,1,7,0,0,1,0,0.52,0.07,0.59,0.52,0.59,3.9,3.9,0.6,4.5,0.29,0.04,0.33,0.29,0.33,Matches
Joel Obi\Joel-Obi,ng NGA,MF,Torino,26,1991,22,16,1247,13.9,5,1,5,0,0,3,0,0.36,0.07,0.43,0.36,0.43,4.1,4.1,0.3,4.4,0.31,0.02,0.33,0.31,0.33,Matches
Marios Oikonomou\Marios-Oikonomou,gr GRE,DF,SPAL,24,1992,4,2,170,1.9,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.04,0,0.04,Matches
Orji Okwonkwo\Orji-Okwonkwo,ng NGA,MFFW,Bologna,19,1998,10,1,265,2.9,3,0,3,0,0,2,0,1.02,0,1.02,1.02,1.02,0.9,0.9,0,0.9,0.38,0,0.38,0.38,0.38,Matches
Maximiliano Olivera\Maximiliano-Olivera,uy URU,DF,Fiorentina,25,1992,7,4,412,4.6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.02,0.03,0.05,0.02,0.05,Matches
Stephane Omeonga\Stephane-Omeonga,be BEL,MFDF,Genoa,21,1996,19,6,797,8.9,0,0,0,0,0,2,1,0,0,0,0,0,0.8,0.8,0.4,1.2,0.09,0.05,0.14,0.09,0.14,Matches
