Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,24-072,1997,29,2097,23.3,5,3,5,0,0,6,1,0.21,0.13,0.34,0.21,0.34,Matches
Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,26-267,1994,15,366,4.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Hellas Verona,28-354,1992,21,1453,16.1,0,0,0,0,0,8,0,0,0,0,0,0,Matches
Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,28-354,1992,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,31-262,1989,15,1124,12.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,25-014,1996,18,272,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
Julian Chabot\Julian-Chabot,de GER,DF,Spezia,23-077,1998,23,1475,16.4,1,1,1,0,0,10,1,0.06,0.06,0.12,0.06,0.12,Matches
Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,36-259,1984,14,1149,12.8,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
Federico Chiesa\Federico-Chiesa,it ITA,DF,Fiorentina,23-187,1997,3,240,2.7,1,1,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,Matches
Federico Chiesa\Federico-Chiesa,it ITA,MFDF,Juventus,23-187,1997,26,1926,21.4,7,7,7,0,0,1,1,0.33,0.33,0.65,0.33,0.65,Matches
Vlad Chiriche?\Vlad-Chiriches,ro ROU,DF,Sassuolo,31-167,1989,19,1487,16.5,2,1,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,Matches
Luca Cigarini\Luca-Cigarini,it ITA,MF,Crotone,34-314,1986,9,597,6.6,0,0,0,0,0,5,1,0,0,0,0,0,Matches
Antonio Cioffi\Antonio-Cioffi,it ITA,FW,Napoli,18-132,2002,1,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ebrima Colley\Ebrima-Colley,gm GAM,FWMF,Hellas Verona,21-088,2000,21,679,7.5,1,0,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches
Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,28-188,1992,25,2231,24.8,1,0,1,0,0,6,0,0.04,0,0.04,0.04,0.04,Matches
Simone Colombi\Simone-Colombi,it ITA,GK,Parma,29-303,1991,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lorenzo Colombo\Lorenzo-Colombo,it ITA,FW,Milan,19-053,2002,4,94,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,34-093,1987,32,2880,32,0,0,0,0,0,1,0,0,0,0,0,0,Matches
