Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Zargo Touré\Zargo-Toure,sn SEN,DF,Lorient,26,1989,23,1885,20.9,1,0,1,0,0,5,1,0.05,0,0.05,0.05,0.05,Matches
Lucas Tousart\Lucas-Tousart,fr FRA,MF,Lyon,19,1997,22,1636,18.2,1,1,1,0,0,1,0,0.06,0.06,0.11,0.06,0.11,Matches
Abdou Traoré\Abdou-Traore,ml MLI,MF,Bordeaux,28,1988,6,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adama Traoré\Adama-Traore,ml MLI,MF,Monaco,21,1995,5,279,3.1,2,0,2,0,0,1,0,0.65,0,0.65,0.65,0.65,Matches
Ismaël Traoré\Ismael-Traore,ci CIV,DF,Angers,29,1986,32,2809,31.2,1,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,Matches
Kevin Trapp\Kevin-Trapp,de GER,GK,Paris S-G,26,1990,24,2123,23.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Óscar Trejo\Oscar-Trejo,ar ARG,MF,Toulouse,28,1988,29,2308,25.6,2,5,2,0,0,4,0,0.08,0.19,0.27,0.08,0.27,Matches
Matthieu Udol\Matthieu-Udol,fr FRA,DF,Metz,20,1996,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Valentín Vada\Valentin-Vada,ar ARG,MF,Bordeaux,20,1996,28,1879,20.9,6,2,4,2,2,4,0,0.29,0.1,0.38,0.19,0.29,Matches
William Vainqueur\William-Vainqueur,fr FRA,MF,Marseille,27,1988,29,2545,28.3,0,1,0,0,0,6,0,0,0.04,0.04,0,0.04,Matches
Mathieu Valbuena\Mathieu-Valbuena,fr FRA,MFFW,Lyon,31,1984,30,1558,17.3,8,5,8,0,0,6,0,0.46,0.29,0.75,0.46,0.75,Matches
Anthony Vanden Borre\Anthony-Vanden-Borre,be BEL,DF,Montpellier,28,1987,10,794,8.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Cédric Varrault\Cedric-Varrault,fr FRA,DF,Dijon,36,1980,32,2792,31,3,0,3,0,0,4,2,0.1,0,0.1,0.1,0.1,Matches
Rémy Vercoutre\Remy-Vercoutre,fr FRA,GK,Caen,36,1980,34,3043,33.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jordan Veretout\Jordan-Veretout,fr FRA,MF,Saint-Étienne,23,1993,35,2942,32.7,3,4,3,0,0,6,0,0.09,0.12,0.21,0.09,0.21,Matches
Marco Verratti\Marco-Verratti,it ITA,MF,Paris S-G,23,1992,28,2148,23.9,3,5,3,0,0,6,0,0.13,0.21,0.34,0.13,0.34,Matches
Du_an Ve_kovac\Dusan-Veskovac,rs SRB,DF,Toulouse,30,1986,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Thomas Vincensini\Thomas-Vincensini,fr FRA,GK,Bastia,22,1993,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Thibaut Vion\Thibaut-Vion,fr FRA,FWMF,Metz,22,1993,13,532,5.9,2,1,2,0,0,2,0,0.34,0.17,0.51,0.34,0.51,Matches
Oswaldo Vizcarrondo\Oswaldo-Vizcarrondo,ve VEN,DF,Nantes,32,1984,20,1410,15.7,0,0,0,0,0,10,0,0,0,0,0,0,Matches
Alhassan Wakaso\Alhassan-Wakaso,gh GHA,MF,Lorient,24,1992,13,683,7.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Anthony Walongwa\Anthony-Walongwa,cd COD,DF,Nantes,22,1993,3,249,2.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rémi Walter\Remi-Walter,fr FRA,MF,Nice,21,1995,22,1411,15.7,0,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
Yoane Wissa\Yoane-Wissa,cd COD,FWMF,Angers,19,1996,2,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Xeka\Xeka,pt POR,MF,Lille,21,1994,13,1115,12.4,1,2,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,Matches
Steeve Yago\Steeve-Yago,bf BFA,DF,Toulouse,23,1992,22,1860,20.7,0,0,0,0,0,13,0,0,0,0,0,0,Matches
Alaeddine Yahia\Alaeddine-Yahia,tn TUN,DF,Caen,34,1981,31,2546,28.3,1,0,1,0,0,7,0,0.04,0,0.04,0.04,0.04,Matches
Mapou Yanga-Mbiwa\Mapou-Yanga-Mbiwa,fr FRA,DF,Lyon,27,1989,25,2131,23.7,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Zaydou Youssouf\Zaydou-Youssouf,fr FRA,MF,Bordeaux,17,1999,2,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Marseille,20,1995,33,1969,21.9,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
Mehdi Zeffane\Mehdi-Zeffane,dz ALG,MF,Rennes,24,1992,1,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
