Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Niklas Schmidt\Niklas-Schmidt,de GER,FWMF,Werder Bremen,18,1998,0.2,0,0,0,0,0,0,2,1,1,0,0,0,Matches
Benno Schmitz\Benno-Schmitz,de GER,DF,RB Leipzig,21,1994,11,2,0,0,14,10,2,17,32,35,0,0,0,Matches
Alessandro Schöpf\Alessandro-Schopf,at AUT,MF,Schalke 04,22,1994,22.7,4,0,0,51,42,5,80,67,41,0,1,0,Matches
Nico Schulz\Nico-Schulz,de GER,DF,M'Gladbach,23,1993,4.6,1,0,0,4,6,0,6,13,5,0,0,0,Matches
André Schürrle\Andre-Schurrle,de GER,MFFW,Dortmund,25,1990,8.3,3,0,0,9,18,9,18,11,8,2,0,0,Matches
Julian Schuster\Julian-Schuster,de GER,MFDF,Freiburg,31,1985,9.4,3,0,0,10,11,0,7,19,11,0,0,0,Matches
Pirmin Schwegler\Pirmin-Schwegler,ch SUI,MF,Hoffenheim,29,1987,4.4,1,0,0,9,6,0,0,12,10,0,0,0,Matches
Alexander Schwolow\Alexander-Schwolow,de GER,GK,Freiburg,24,1992,34,1,0,0,0,2,0,1,0,0,0,0,0,Matches
Haris Seferovi?\Haris-Seferovic,ch SUI,FWMF,Eint Frankfurt,24,1992,11.9,1,1,0,33,17,11,22,5,4,0,1,0,Matches
Paul Seguin\Paul-Seguin,de GER,MFDF,Wolfsburg,21,1995,14.7,4,2,1,31,15,0,11,25,25,0,0,0,Matches
Davie Selke\Davie-Selke,de GER,FW,RB Leipzig,21,1995,5,4,0,0,18,10,12,4,1,7,0,0,0,Matches
Suat Serdar\Suat-Serdar,de GER,MF,Mainz 05,19,1997,3.7,1,0,0,13,5,0,0,15,11,0,0,0,Matches
Aaron Seydel\Aaron-Seydel,de GER,FW,Mainz 05,20,1996,2,0,0,0,6,6,4,1,1,0,0,0,0,Matches
Ba-Muaka Simakala\Ba-Muaka-Simakala,cg CGO,FW,M'Gladbach,19,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sandro Sirigu\Sandro-Sirigu,de GER,DFMF,Darmstadt 98,27,1988,20.2,5,2,1,30,23,4,34,38,34,0,0,0,Matches
Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,27,1988,34,1,0,0,0,3,0,0,2,1,0,1,0,Matches
Djibril Sow\Djibril-Sow,ch SUI,MF,M'Gladbach,19,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ça?lar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Freiburg,20,1996,23,4,0,0,36,16,3,2,45,35,0,2,0,Matches
Emir Spahi?\Emir-Spahic,ba BIH,DF,Hamburger SV,35,1980,8.6,3,0,0,20,5,0,0,26,14,0,0,0,Matches
Kostas Stafylidis\Kostas-Stafylidis,gr GRE,DFMF,Augsburg,22,1993,24.9,6,0,0,26,27,0,81,90,43,0,0,0,Matches
Benjamin Stambouli\Benjamin-Stambouli,fr FRA,MF,Schalke 04,25,1990,14.4,3,1,0,12,8,0,1,59,30,0,1,0,Matches
Niklas Stark\Niklas-Stark,de GER,MFDF,Hertha BSC,21,1995,26.1,6,0,0,40,36,1,0,66,50,1,0,0,Matches
Tom Starke\Tom-Starke,de GER,GK,Bayern Munich,35,1981,3,0,0,0,0,0,0,0,1,0,0,0,0,Matches
Markus Steinhöfer\Markus-Steinhofer,de GER,DFMF,Darmstadt 98,30,1986,3.6,0,0,0,4,1,0,15,10,10,0,0,0,Matches
Marc Stendera\Marc-Stendera,de GER,MF,Eint Frankfurt,20,1995,1.4,0,0,0,1,3,0,2,5,12,0,0,0,Matches
Pascal Stenzel\Pascal-Stenzel,de GER,DFMF,Freiburg,20,1996,14.5,3,0,0,12,7,0,12,24,29,0,0,0,Matches
Janek Sternberg\Janek-Sternberg,de GER,DF,Werder Bremen,23,1992,0.8,1,0,0,1,1,0,1,2,1,0,0,0,Matches
Lars Stindl\Lars-Stindl,de GER,FWMF,M'Gladbach,27,1988,28.8,8,0,0,55,52,5,12,24,29,2,0,0,Matches
Valentin Stocker\Valentin-Stocker,ch SUI,MF,Hertha BSC,27,1989,12.9,1,1,0,32,21,4,10,20,18,2,0,0,Matches
Tobias Strobl\Tobias-Strobl,de GER,MFDF,M'Gladbach,26,1990,17.4,7,2,1,34,13,1,3,45,27,0,0,0,Matches
Dominik Stroh-Engel\Dominik-Stroh-Engel,de GER,FW,Darmstadt 98,30,1985,0.5,0,0,0,0,1,1,0,0,0,0,0,0,Matches
Neven Suboti?\Neven-Subotic,rs SRB,DF,Köln,27,1988,9.9,1,0,0,4,6,1,0,30,13,0,0,0,Matches
Niklas Süle\Niklas-Sule,de GER,DF,Hoffenheim,20,1995,32.1,4,0,0,20,23,0,3,76,47,0,0,1,Matches
Aytaç Sulu\Aytac-Sulu,tr TUR,DF,Darmstadt 98,30,1985,27,7,0,0,28,40,1,0,73,17,0,4,1,Matches
Markus Suttner\Markus-Suttner,at AUT,MFDF,Ingolstadt 04,29,1987,30.4,10,0,0,35,17,3,163,93,45,0,0,1,Matches
Ádám Szalai\Adam-Szalai,hu HUN,FWMF,Hoffenheim,28,1987,8.7,2,0,0,18,7,8,8,3,7,0,0,0,Matches
Frederik Sørensen\Frederik-Sorensen,dk DEN,DF,Köln,24,1992,29.8,5,0,0,57,23,0,15,85,66,0,1,0,Matches
Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,20,1996,18.2,1,0,0,16,14,0,0,49,30,0,1,0,Matches
Shani Tarashaj\Shani-Tarashaj,ch SUI,MF,Eint Frankfurt,21,1995,3.7,1,0,0,4,4,0,6,3,1,0,0,0,Matches
Taleb Tawatha\Taleb-Tawatha,il ISR,MF,Eint Frankfurt,24,1992,7.7,0,0,0,11,11,2,15,24,7,0,0,0,Matches
Georg Teigl\Georg-Teigl,at AUT,MF,Augsburg,25,1991,7.4,1,0,0,4,11,4,16,18,9,0,0,0,Matches
