Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Fábio\Fabio,br BRA,DF,Nantes,30-295,1990,16.7,5,1,1,36,13,1,22,21,39,1,2,0,154,Matches
Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,33-361,1987,8.9,2,0,0,13,10,0,15,2,13,0,0,0,75,Matches
Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,MF,Brest,20-105,2001,0.5,0,0,0,0,1,0,1,1,0,0,0,0,5,Matches
Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,FWMF,Paris S-G,20-105,2001,0.7,1,0,0,2,2,0,1,1,1,0,0,0,5,Matches
Wout Faes\Wout-Faes,be BEL,DF,Reims,23-027,1998,29.2,13,2,1,23,13,0,0,47,28,0,1,0,260,Matches
Romain Faivre\Romain-Faivre,fr FRA,MFFW,Brest,22-290,1998,28.3,0,0,0,33,63,0,40,28,42,0,0,0,214,Matches
Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,23-074,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,Matches
Noah Fatar\Noah-Fatar,fr FRA,FWMF,Angers,19-074,2002,0.2,0,0,0,3,0,0,0,1,0,0,0,0,2,Matches
Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,34-106,1987,8.6,2,0,0,12,2,1,33,5,8,0,1,0,80,Matches
Zinedine Ferhat\Zinedine-Ferhat,dz ALG,MFFW,Nîmes,28-060,1993,29.9,2,0,0,22,62,8,78,32,18,2,0,0,174,Matches
Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,29-049,1992,28,6,0,0,50,34,0,14,17,60,0,0,0,330,Matches
Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Paris S-G,30-050,1991,17,1,0,0,10,7,2,71,16,19,0,0,0,131,Matches
Mamadou Fofana\Mamadou-Fofana,ml MLI,MFDF,Metz,23-099,1998,11.4,2,0,0,12,2,0,0,14,14,0,0,0,111,Matches
Seko Fofana\Seko-Fofana,ci CIV,MF,Lens,25-358,1995,21.7,2,0,0,19,20,1,19,27,11,1,0,0,186,Matches
Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,20-134,2000,3.5,1,0,0,6,5,1,1,4,5,0,0,0,34,Matches
Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Monaco,22-110,1999,28.3,9,1,1,42,30,0,11,37,75,0,1,0,269,Matches
Thomas Foket\Thomas-Foket,be BEL,DF,Reims,26-217,1994,33,4,0,0,30,33,4,44,50,43,1,0,1,235,Matches
Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,23-094,1998,21.8,7,0,0,41,15,0,3,34,46,0,1,0,220,Matches
Thomas Fontaine\Thomas-Fontaine,mg MAD,DF,Lorient,29-357,1991,3.6,0,0,0,1,3,0,0,1,2,0,1,0,17,Matches
José Fonte\Jose-Fonte,pt POR,DF,Lille,37-129,1983,32.4,6,0,0,28,14,0,11,29,24,1,1,1,325,Matches
