Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
169,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Strasbourg,24,1993,13.8,2,0,0,16,7,1,21,19,16,0,0,0,115,3,3,50,Matches
170,Lilian Fournier\Lilian-Fournier,fr FRA,MF,Metz,19,1998,0.2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,,Matches
171,Angelo Fulgini\Angelo-Fulgini,fr FRA,MFFW,Angers,20,1996,17,4,0,0,17,33,1,37,17,14,1,0,0,155,3,13,18.8,Matches
172,Milan Gaji_\Milan-Gajic,rs SRB,DF,Bordeaux,21,1996,4,0,0,0,9,0,1,5,5,0,0,0,0,25,0,1,0,Matches
173,Serge Gakpé\Serge-Gakpe,tg TOG,FWMF,Amiens,30,1987,20.6,1,0,0,18,15,8,20,10,7,0,0,0,114,7,19,26.9,Matches
174,Ignatius Ganago\Ignatius-Ganago,cm CMR,FWMF,Nice,18,1999,0.8,1,0,0,4,1,0,0,0,0,0,0,0,4,1,0,100,Matches
175,Najib Gandi\Najib-Gandi,fr FRA,MFFW,Nantes,23,1994,1.1,1,0,0,2,3,4,1,1,4,0,0,0,9,0,0,,Matches
176,Jérémy Gélin\Jeremy-Gelin,fr FRA,DFMF,Rennes,20,1997,25.7,2,0,0,29,16,1,5,35,14,0,0,0,265,16,14,53.3,Matches
177,Romain Genevois\Romain-Genevois,ht HAI,DF,Caen,29,1987,20.1,4,1,0,24,17,0,31,28,20,0,0,0,224,23,7,76.7,Matches
178,Valère Germain\Valere-Germain,fr FRA,FW,Marseille,27,1990,24.1,2,0,0,24,15,14,25,8,9,1,0,0,74,28,56,33.3,Matches
179,Willem Geubbels\Willem-Geubbels,fr FRA,FW,Lyon,15,2001,0.4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,,Matches
180,Yassine El Ghanassy\Yassine-El-Ghanassy,be BEL,FWMF,Nantes,27,1990,7.2,1,0,0,8,19,0,23,8,3,0,0,0,48,0,3,0,Matches
181,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Lille,22,1995,18.3,2,0,0,17,15,5,62,8,14,0,0,0,75,7,10,41.2,Matches
182,Rachid Ghezzal\Rachid-Ghezzal,dz ALG,FWMF,Monaco,25,1992,11,3,1,0,19,18,7,36,16,11,0,0,0,85,4,13,23.5,Matches
183,Guillaume Gillet\Guillaume-Gillet,be BEL,MF,Nantes,33,1984,0.2,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,,Matches
184,Jimmy Giraudon\Jimmy-Giraudon,fr FRA,DF,Troyes,25,1992,23.3,4,1,0,14,13,0,2,28,11,0,1,0,228,13,13,50,Matches
185,Thibault Giresse\Thibault-Giresse,fr FRA,MFFW,Guingamp,36,1981,0.3,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,,Matches
186,Andrei Girotto\Andrei-Girotto,br BRA,MF,Nantes,25,1992,16.9,8,0,0,35,20,0,8,18,29,1,1,0,202,18,11,62.1,Matches
187,Kamil Glik\Kamil-Glik,pl POL,DF,Monaco,29,1988,36,8,0,0,39,33,2,0,35,23,1,1,0,417,36,18,66.7,Matches
188,Joris Gnagnon\Joris-Gnagnon,fr FRA,DF,Rennes,20,1997,32.4,3,0,0,24,27,2,1,23,26,0,0,1,274,27,14,65.9,Matches
189,Anthony Gonçalves\Anthony-Goncalves,fr FRA,MFFW,Strasbourg,31,1986,19.5,5,0,0,45,18,2,97,20,30,0,0,0,183,11,9,55,Matches
190,Vagner Gonçalves\Vagner-Goncalves,cv CPV,FWMF,Saint-Étienne,21,1996,1.2,0,0,0,2,1,1,4,0,1,0,0,0,12,0,0,,Matches
191,Georges Gope-Fenepej\Georges-Gope-Fenepej,nc NCL,MFFW,Amiens,28,1988,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Matches
192,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,Lyon,26,1990,4,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,,Matches
193,Prince-Désir Gouano\Prince-Desir-Gouano,fr FRA,DF,Amiens,23,1993,30.5,4,5,2,26,26,0,2,54,28,0,0,0,340,47,28,62.7,Matches
194,Lemouya Goudiaby\Lemouya-Goudiaby,sn SEN,DF,Metz,20,1997,0.9,0,0,0,1,2,0,8,2,0,0,0,0,5,0,0,,Matches
195,Amine Gouiri\Amine-Gouiri,fr FRA,FWMF,Lyon,17,2000,0.9,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,Matches
196,Yoann Gourcuff\Yoann-Gourcuff,fr FRA,MFFW,Rennes,31,1986,4.7,0,0,0,3,6,0,8,3,2,0,0,0,27,1,1,50,Matches
197,Max Gradel\Max-Gradel,ci CIV,FWMF,Toulouse,29,1987,26.8,6,1,0,39,48,10,135,17,29,2,0,0,203,4,22,15.4,Matches
198,Samuel Grandsir\Samuel-Grandsir,fr FRA,FWMF,Troyes,20,1996,28.9,3,0,0,52,45,13,69,22,30,0,0,0,208,4,22,15.4,Matches
199,Clément Grenier\Clement-Grenier,fr FRA,MF,Lyon,26,1991,0.1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,,Matches
200,Clément Grenier\Clement-Grenier,fr FRA,MF,Guingamp,26,1991,13.4,2,0,0,20,16,1,45,11,17,0,0,0,103,8,9,47.1,Matches
201,Jérémy Grimm\Jeremy-Grimm,fr FRA,MF,Strasbourg,30,1987,9,3,0,0,17,15,0,4,19,18,0,0,0,118,10,3,76.9,Matches
202,Gonçalo Guedes\Goncalo-Guedes,pt POR,FW,Paris S-G,20,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
203,Frederic Guilbert\Frederic-Guilbert,fr FRA,DFMF,Caen,22,1994,36,12,0,0,56,37,1,95,89,69,0,0,0,400,43,23,65.2,Matches
204,Baptiste Guillaume\Baptiste-Guillaume,be BEL,FW,Angers,22,1995,5.1,3,0,0,14,6,4,2,2,3,0,0,0,15,5,9,35.7,Matches
205,Régis Gurtner\Regis-Gurtner,fr FRA,GK,Amiens,30,1986,37,2,0,0,3,9,0,0,0,0,0,1,0,196,0,0,,Matches
206,Luiz Gustavo\Luiz-Gustavo,br BRA,MFDF,Marseille,30,1987,33.5,10,1,0,59,40,1,15,43,52,0,0,0,356,15,8,65.2,Matches
207,Oussama Haddadi\Oussama-Haddadi,tn TUN,DF,Dijon,25,1992,27.8,6,1,0,43,16,3,64,36,33,0,2,0,291,5,7,41.7,Matches
208,Oualid El Hajjam\Oualid-El-Hajjam,ma MAR,DF,Amiens,26,1991,24.4,6,0,0,36,26,0,39,67,31,0,1,0,261,9,13,40.9,Matches
209,Romain Hamouma\Romain-Hamouma,fr FRA,FWMF,Saint-Étienne,30,1987,20.5,4,0,0,16,37,12,63,14,12,1,0,0,106,9,11,45,Matches
210,Gauthier Hein\Gauthier-Hein,fr FRA,FWMF,Metz,20,1996,0.9,0,0,0,1,1,0,1,1,1,0,0,0,8,0,1,0,Matches
211,Christophe Hérelle\Christophe-Herelle,mq MTQ,DF,Troyes,24,1992,32.9,7,1,0,29,27,1,0,61,11,0,0,0,351,26,19,57.8,Matches
212,Hernani\Hernani,br BRA,MFFW,Saint-Étienne,23,1994,6.1,2,3,1,16,4,1,18,5,10,0,0,0,52,8,5,61.5,Matches
213,Vitorino Hilton\Vitorino-Hilton,br BRA,DF,Montpellier,39,1977,27,5,0,0,22,25,2,3,51,28,0,2,0,368,26,10,72.2,Matches
214,Tomá_ Hubo_an\Tomas-Hubocan,sk SVK,DF,Marseille,31,1985,1,1,0,0,2,0,0,2,0,0,0,0,0,9,2,0,100,Matches
215,Adrien Hunou\Adrien-Hunou,fr FRA,FWMF,Rennes,23,1994,16.2,1,0,0,19,29,19,6,7,12,1,0,0,87,2,14,12.5,Matches
216,Suk Hyun-jun\Suk-Hyun-jun,kr KOR,FW,Troyes,26,1991,14,5,0,0,44,34,4,8,3,3,0,0,0,48,30,36,45.5,Matches
217,Edgar Ié\Edgar-Ie,pt POR,DF,Lille,23,1994,35,6,1,0,29,19,2,27,72,38,0,1,0,416,40,16,71.4,Matches
218,Julien Ielsch\Julien-Ielsch,fr FRA,MFDF,Amiens,34,1983,6.9,4,0,0,16,5,0,4,8,15,0,0,0,83,1,4,20,Matches
219,Jordan Ikoko\Jordan-Ikoko,cd COD,DF,Guingamp,23,1994,26.9,5,0,0,25,18,2,46,50,16,0,1,1,236,7,9,43.8,Matches
220,Jonathan Ikone\Jonathan-Ikone,fr FRA,FWMF,Montpellier,19,1998,11.1,0,0,0,11,7,1,20,4,9,0,0,0,48,1,5,16.7,Matches
221,Jules Iloki\Jules-Iloki,fr FRA,MFFW,Nantes,25,1992,15.7,1,0,0,12,13,5,74,14,3,0,0,0,107,2,2,50,Matches
222,Giannelli Imbula\Giannelli-Imbula,cd COD,MF,Toulouse,24,1992,24.9,4,0,0,21,52,1,17,16,16,0,0,0,220,7,5,58.3,Matches
223,Emmanuel Imorou\Emmanuel-Imorou,bj BEN,DF,Caen,28,1988,0.4,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,Matches
224,Christophe Jallet\Christophe-Jallet,fr FRA,DF,Nice,33,1983,13,4,0,0,9,4,2,23,22,16,0,1,0,124,8,5,61.5,Matches
225,Ablie Jallow\Ablie-Jallow,gm GAM,MFFW,Metz,18,1998,1.4,0,0,0,2,3,0,1,0,1,0,0,0,14,0,0,,Matches
226,Saidy Janko\Saidy-Janko,ch SUI,DFMF,Saint-Étienne,21,1995,15.8,5,0,0,20,13,0,29,12,15,0,0,0,129,4,2,66.7,Matches
227,Nicolas Janvier\Nicolas-Janvier,fr FRA,MFFW,Rennes,18,1998,0.8,0,0,0,1,2,0,0,1,1,0,0,0,4,1,1,50,Matches
228,Corentin Jean\Corentin-Jean,fr FRA,MFFW,Toulouse,22,1995,18.8,3,0,0,14,39,7,54,11,6,2,0,0,104,9,13,40.9,Matches
229,Benjamin Jeannot\Benjamin-Jeannot,fr FRA,FWMF,Dijon,25,1992,15.6,4,0,0,25,17,14,10,9,5,0,0,0,54,17,29,37,Matches
230,Jemerson\Jemerson,br BRA,DF,Monaco,24,1992,31.7,7,1,0,36,18,0,1,32,28,0,0,0,275,24,23,51.1,Matches
231,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,Guingamp,27,1990,38,0,0,0,0,7,0,0,0,0,0,0,0,174,0,0,,Matches
232,Jorge\Jorge,br BRA,DF,Monaco,21,1996,21.3,8,0,0,28,44,3,50,52,33,2,0,0,246,18,21,46.2,Matches
233,Yann Jouffre\Yann-Jouffre,fr FRA,MFFW,Metz,33,1984,3,0,0,0,2,4,1,11,2,5,0,0,0,21,0,0,,Matches
234,Vuka_in Jovanovi_\Vukasin-Jovanovic,rs SRB,DF,Bordeaux,21,1996,16,5,0,0,8,15,0,1,13,12,0,0,0,152,3,3,50,Matches
235,Stevan Joveti_\Stevan-Jovetic,me MNE,FW,Monaco,27,1989,8.4,1,0,0,16,11,8,3,6,4,0,0,0,38,7,12,36.8,Matches
236,Christopher Jullien\Christopher-Jullien,fr FRA,DF,Toulouse,24,1993,28.9,7,0,0,28,9,1,3,37,19,0,0,0,372,62,14,81.6,Matches
237,Alexander Ka_anikli_\Alexander-Kacaniklic,se SWE,MFFW,Nantes,25,1991,3.5,0,0,0,1,4,2,11,2,3,0,0,0,23,3,0,100,Matches
238,Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Amiens,26,1991,34.3,3,0,0,17,63,7,89,26,30,0,0,0,245,23,40,36.5,Matches
239,François Kamano\Francois-Kamano,gn GUI,FWMF,Bordeaux,21,1996,22.4,4,0,0,35,37,16,47,18,23,2,0,0,124,2,7,22.2,Matches
240,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,20,1996,18.8,2,0,0,0,3,0,0,0,0,0,0,0,80,0,0,,Matches
241,Boubacar Kamara\Boubacar-Kamara,fr FRA,DFMF,Marseille,17,1999,5.1,1,0,0,9,4,0,1,4,9,0,0,0,56,9,5,64.3,Matches
242,Wilfried Kanga\Wilfried-Kanga,fr FRA,FWMF,Angers,19,1998,2,0,0,0,3,3,0,1,0,1,0,0,0,6,0,2,0,Matches
243,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Metz,34,1983,28.6,0,1,0,1,5,0,0,0,0,0,0,0,143,0,0,,Matches
244,Joris Kayembe\Joris-Kayembe,be BEL,FWMF,Nantes,22,1994,1,0,0,0,1,1,1,4,0,1,0,0,0,7,0,0,,Matches
245,Christophe Kerbrat\Christophe-Kerbrat,fr FRA,DF,Guingamp,30,1986,36.9,4,0,0,10,29,0,5,68,37,0,0,0,395,17,18,48.6,Matches
246,Billy Ketkeophomphone\Billy-Ketkeophomphone,fr FRA,MFFW,Angers,27,1990,4.9,0,0,0,11,10,0,6,7,9,0,0,0,50,4,10,28.6,Matches
247,Driss Khalid\Driss-Khalid,ma MAR,FW,Toulouse,18,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100,Matches
248,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,MFFW,Troyes,22,1995,21.7,1,0,0,40,26,0,39,27,22,0,0,0,145,4,5,44.4,Matches
249,Wahbi Khazri\Wahbi-Khazri,tn TUN,FWMF,Rennes,26,1991,21.3,8,1,0,39,52,17,37,12,17,0,0,0,112,7,7,50,Matches
250,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,21,1995,26.9,8,4,2,29,48,1,6,16,19,0,1,0,230,18,9,66.7,Matches
251,Hervé Koffi\Herve-Koffi,bf BFA,GK,Lille,20,1996,4,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,,Matches
252,Seybou Koita\Seybou-Koita,ne NIG,FWMF,Amiens,23,1994,2.4,0,0,0,2,2,2,2,1,3,0,0,0,13,1,4,20,Matches
253,Moussa Konaté\Moussa-Konate,sn SEN,FW,Amiens,24,1993,27.5,8,0,0,47,55,29,20,6,6,1,0,0,84,23,43,34.8,Matches
254,Bakary Koné\Bakary-Kone,bf BFA,DF,Strasbourg,29,1988,27.4,3,0,0,22,17,3,1,29,10,1,1,0,250,23,9,71.9,Matches
255,Terence Kongolo\Terence-Kongolo,nl NED,DF,Monaco,23,1994,2.8,0,0,0,2,4,0,8,3,5,0,0,0,36,4,0,100,Matches
256,Christian Kouakou\Christian-Kouakou,ci CIV,MFFW,Caen,26,1991,9.4,0,0,0,21,22,15,14,7,11,0,0,0,44,0,6,0,Matches
257,Rominigue Kouamé\Rominigue-Kouame,ml MLI,DFMF,Lille,20,1996,2.2,0,0,0,3,2,0,1,5,0,0,1,0,24,1,2,33.3,Matches
258,Tomá_ Koubek\Tomas-Koubek,cz CZE,GK,Rennes,24,1992,34,0,0,0,1,4,0,0,0,0,0,1,0,172,0,0,,Matches
259,Jules Koundé\Jules-Kounde,fr FRA,DF,Bordeaux,18,1998,17.7,1,0,0,9,6,1,1,16,8,0,0,0,195,22,10,68.8,Matches
260,Vincent Koziello\Vincent-Koziello,fr FRA,MF,Nice,21,1995,9,3,0,0,11,13,1,0,12,9,0,0,0,75,1,6,14.3,Matches
261,Rene Krhin\Rene-Krhin,si SVN,MF,Nantes,27,1990,14.6,5,0,0,18,24,1,1,18,10,0,0,0,154,16,16,50,Matches
262,Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,Paris S-G,24,1992,18.9,1,0,0,28,12,0,36,23,26,0,0,0,132,21,14,60,Matches
263,Enock Kwateng\Enock-Kwateng,fr FRA,DF,Nantes,20,1997,1,0,0,0,0,1,0,0,3,2,0,0,0,10,0,0,,Matches
264,Brighton Labeau\Brighton-Labeau,fr FRA,FW,Amiens,21,1996,0.3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
265,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FW,Bordeaux,23,1994,10.6,1,0,0,17,17,6,9,4,3,0,0,0,50,22,39,36.1,Matches
266,Léo Lacroix\Leo-Lacroix,ch SUI,DF,Saint-Étienne,25,1992,8.6,3,1,0,11,3,4,0,10,7,0,0,0,81,11,6,64.7,Matches
267,Alban Lafont\Alban-Lafont,fr FRA,GK,Toulouse,18,1999,38,4,0,0,3,7,0,0,0,0,0,1,0,236,0,0,,Matches
268,Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,25,1991,30.3,5,2,1,24,29,0,65,42,40,0,0,0,294,6,6,50,Matches
269,Ádám Lang\Adam-Lang,hu HUN,DF,Dijon,24,1993,2.6,1,2,1,4,0,0,0,3,0,0,0,0,21,0,1,0,Matches
270,Paul Lasne\Paul-Lasne,fr FRA,MF,Montpellier,28,1989,34,10,0,0,53,71,0,40,44,43,1,0,0,355,27,26,50.9,Matches
271,Wesley Lautoa\Wesley-Lautoa,nc NCL,DFMF,Dijon,29,1987,6.9,1,0,0,9,9,0,0,18,10,0,1,0,66,5,6,45.5,Matches
272,Mickaël Le Bihan\Mickael-Le-Bihan,fr FRA,FWMF,Nice,27,1990,1.2,0,0,0,2,2,0,2,1,0,0,0,0,2,1,1,50,Matches
273,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Nice,27,1989,28.2,4,0,0,21,21,0,26,42,34,0,1,0,289,25,6,80.6,Matches
274,James Lea Siliki\James-Lea-Siliki,fr FRA,MF,Rennes,21,1996,20.9,6,2,1,36,53,1,38,23,14,3,0,0,179,10,7,58.8,Matches
275,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Montpellier,26,1991,38,1,0,0,3,4,0,0,0,0,0,1,0,193,0,0,,Matches
276,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MFFW,Nice,24,1993,32.1,6,1,0,53,37,7,55,32,45,1,0,1,222,5,14,26.3,Matches
277,Thomas Lemar\Thomas-Lemar,fr FRA,MFFW,Monaco,21,1995,26.4,1,0,0,10,41,4,114,20,12,2,0,0,161,3,5,37.5,Matches
278,Dylan Lempereur\Dylan-Lempereur,fr FRA,DF,Metz,18,1998,1.6,0,0,0,3,2,0,1,1,3,0,0,0,11,0,3,0,Matches
279,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Bordeaux,24,1993,36.5,8,0,0,67,53,5,16,54,66,0,0,0,365,40,41,49.4,Matches
280,Alexandre Letellier\Alexandre-Letellier,fr FRA,GK,Angers,26,1990,13,0,0,0,0,1,0,0,0,0,0,0,0,59,0,0,,Matches
281,Igor Lewczuk\Igor-Lewczuk,pl POL,DF,Bordeaux,32,1985,4.9,3,0,0,15,2,0,10,5,7,0,0,0,41,1,1,50,Matches
282,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,29,1988,28.9,7,0,0,29,38,0,113,49,42,0,0,0,287,3,6,33.3,Matches
283,Lucas Lima\Lucas-Lima,br BRA,DFFW,Nantes,25,1991,29.5,3,0,0,29,24,4,150,40,36,0,0,0,305,14,20,41.2,Matches
284,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MF,Paris S-G,21,1996,19.7,2,0,0,23,41,0,8,20,59,1,0,0,174,3,5,37.5,Matches
285,Enzo Loiodice\Enzo-Loiodice,fr FRA,MF,Dijon,16,2000,1.9,0,0,0,1,2,0,0,1,4,0,0,0,15,1,2,33.3,Matches
286,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,26,1990,34,1,0,0,2,4,0,0,0,0,0,1,0,139,0,0,,Matches
287,Rony Lopes\Rony-Lopes,pt POR,FWMF,Monaco,21,1995,28.1,2,0,0,39,39,6,82,18,26,1,0,0,155,7,20,25.9,Matches
288,Maxime Lopez\Maxime-Lopez,fr FRA,MF,Marseille,19,1997,15.3,2,0,0,33,20,1,34,7,18,0,0,0,135,2,5,28.6,Matches
289,Arnaud Lusamba\Arnaud-Lusamba,fr FRA,MF,Nice,20,1997,1.8,0,0,0,2,3,0,0,2,7,0,0,0,13,0,0,,Matches
290,Cheikh M'Bengue\Cheikh-MBengue,sn SEN,DF,Saint-Étienne,29,1988,5.4,2,0,0,10,3,0,2,10,3,0,0,0,43,4,0,100,Matches
291,Raïs M'Bolhi\Rais-MBolhi,dz ALG,GK,Rennes,31,1986,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,Matches
292,Yann M'Vila\Yann-MVila,fr FRA,MF,Saint-Étienne,27,1990,16.4,1,0,0,11,20,0,4,28,12,0,0,0,180,8,5,61.5,Matches
293,Zinédine Machach\Zinedine-Machach,fr FRA,FWMF,Toulouse,21,1996,2.1,2,0,0,8,2,0,5,2,4,0,0,0,15,0,3,0,Matches
294,Hicham Mahou\Hicham-Mahou,fr FRA,FWMF,Nice,18,1999,0.6,0,0,0,1,0,0,1,3,1,0,0,0,4,1,1,50,Matches
295,Thiago Maia\Thiago-Maia,br BRA,MFDF,Lille,20,1997,27.4,3,2,1,30,22,1,7,67,32,0,1,0,319,10,8,55.6,Matches
296,Habib Maïga\Habib-Maiga,ci CIV,MFDF,Saint-Étienne,21,1996,7.9,2,0,0,22,9,0,14,19,17,0,0,0,88,4,7,36.4,Matches
297,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,21,1995,33.7,0,1,0,0,9,0,0,1,0,0,0,0,176,0,1,0,Matches
298,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,FWMF,Nice,19,1998,2.7,1,0,0,4,4,0,4,2,1,0,0,0,15,3,3,50,Matches
299,Malcom\Malcom,br BRA,FWMF,Bordeaux,20,1997,31.7,2,0,0,23,92,10,88,20,9,1,0,0,154,7,26,21.2,Matches
300,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Lille,26,1991,20.2,2,0,0,13,31,5,57,43,23,1,0,1,204,4,7,36.4,Matches
301,Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,28,1989,33,0,0,0,25,29,1,54,37,36,0,1,0,342,11,16,40.7,Matches
302,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,32,1985,29.8,0,1,0,1,3,0,0,0,0,0,0,0,119,0,0,,Matches
303,Georges Mandjeck\Georges-Mandjeck,cm CMR,MFDF,Metz,28,1988,10.7,5,0,0,27,16,0,2,15,13,0,1,0,152,16,9,64,Matches
304,Kader Mangane\Kader-Mangane,sn SEN,DF,Strasbourg,34,1983,19.1,4,0,0,22,8,2,4,23,23,0,0,0,214,15,11,57.7,Matches
305,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,30,1987,33.6,7,0,0,44,30,2,92,41,51,0,0,0,333,11,27,28.9,Matches
306,Harrison Manzala\Harrison-Manzala,cd COD,FWMF,Amiens,23,1994,20.7,3,0,0,15,23,3,41,19,15,0,0,0,136,3,11,21.4,Matches
307,Myziane Maolida\Myziane-Maolida,fr FRA,FW,Lyon,18,1999,3.7,0,0,0,2,1,2,6,1,2,0,0,0,17,1,2,33.3,Matches
308,Faitout Maouassa\Faitout-Maouassa,fr FRA,MFFW,Rennes,19,1998,10.7,1,0,0,13,15,1,18,6,4,0,0,0,46,1,1,50,Matches
309,Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,28,1989,14.4,1,0,0,17,25,1,23,26,16,0,1,0,150,15,10,60,Matches
310,Vincent Marcel\Vincent-Marcel,fr FRA,FW,Nice,20,1997,0.5,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,,Matches
311,Marcelo\Marcelo,br BRA,DF,Lyon,30,1987,34.5,5,1,0,32,8,1,2,47,17,0,0,1,446,62,21,74.7,Matches
312,Mariano\Mariano,do DOM,FW,Lyon,23,1993,27.9,6,0,0,34,13,24,7,4,6,1,0,0,83,18,26,40.9,Matches
313,Jordan Marié\Jordan-Marie,fr FRA,MF,Dijon,25,1991,20.9,5,0,0,22,16,1,8,35,40,0,1,0,212,4,15,21.1,Matches
314,Marlon\Marlon,br BRA,DF,Nice,21,1995,21.4,5,2,1,21,11,0,3,14,16,0,1,1,143,17,14,54.8,Matches
315,Marquinhos\Marquinhos,br BRA,DF,Paris S-G,23,1994,25.1,1,0,0,11,8,0,0,11,14,0,0,0,220,22,8,73.3,Matches
316,Jonas Martin\Jonas-Martin,fr FRA,MFFW,Strasbourg,27,1990,33.6,6,0,0,53,40,3,27,38,42,1,0,0,304,26,33,44.1,Matches
317,Pablo Martinez\Pablo-Martinez,fr FRA,DF,Strasbourg,28,1989,23.5,4,0,0,23,28,1,10,39,27,0,2,0,232,23,20,53.5,Matches
318,Jonathan Martins Pereira\Jonathan-Martins-Pereira,fr FRA,DF,Guingamp,31,1986,12.6,2,0,0,15,17,0,29,28,15,0,0,0,126,11,5,68.8,Matches
319,Christopher Martins\Christopher-Martins,lu LUX,MF,Lyon,20,1997,0.8,1,0,0,2,0,0,0,1,2,0,0,0,7,0,0,,Matches
320,Eden Massouema\Eden-Massouema,cg CGO,MF,Dijon,20,1997,2.1,1,0,0,5,2,0,2,2,0,0,0,0,9,2,1,66.7,Matches
321,Blaise Matuidi\Blaise-Matuidi,fr FRA,MF,Paris S-G,30,1987,0.3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,,Matches
322,Kylian Mbappé\Kylian-Mbappe,fr FRA,FWMF,Monaco,18,1998,0.8,0,0,0,0,1,2,5,1,1,0,0,0,3,0,0,,Matches
323,Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,Paris S-G,18,1998,23.3,2,0,0,9,37,23,62,1,4,1,0,0,98,1,4,20,Matches
324,Adama Mbengue\Adama-Mbengue,sn SEN,DF,Caen,23,1993,17.7,2,1,0,35,24,0,59,26,31,0,0,0,201,11,4,73.3,Matches
325,Isaac Mbenza\Isaac-Mbenza,be BEL,FWMF,Montpellier,21,1996,23.3,4,0,0,12,21,14,71,8,15,0,0,0,98,3,2,60,Matches
326,Bryan Mbeumo\Bryan-Mbeumo,fr FRA,FWMF,Troyes,17,1999,0.7,0,0,0,1,4,0,1,2,0,0,0,0,7,3,1,75,Matches
327,Jordi Mboula\Jordi-Mboula,es ESP,MFFW,Monaco,18,1999,0.3,0,0,0,1,2,0,3,1,0,0,0,0,3,0,1,0,Matches
328,Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Monaco,23,1994,1.1,0,0,0,1,2,0,0,3,1,0,0,0,13,0,0,,Matches
329,Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Bordeaux,23,1994,14.8,0,0,0,19,22,0,9,21,20,0,1,0,135,16,6,72.7,Matches
330,Pedro Mendes\Pedro-Mendes,pt POR,DF,Montpellier,26,1990,31.7,11,0,0,39,51,0,7,38,35,0,2,0,370,20,12,62.5,Matches
331,Thiago Mendes\Thiago-Mendes,br BRA,MF,Lille,25,1992,25.5,4,2,1,32,45,3,18,27,18,0,0,0,199,10,3,76.9,Matches
332,Stiven Mendoza\Stiven-Mendoza,co COL,FWMF,Amiens,25,1992,11.5,0,0,0,7,8,1,16,15,9,0,0,0,84,2,6,25,Matches
333,Alexandre Mendy\Alexandre-Mendy,gw GNB,FWMF,Bordeaux,23,1994,8.9,2,0,0,15,7,15,5,2,5,0,0,0,31,10,21,32.3,Matches
334,Ferland Mendy\Ferland-Mendy,fr FRA,DF,Lyon,22,1995,23.6,4,0,0,27,45,0,46,24,23,1,3,0,244,15,12,55.6,Matches
335,Nampalys Mendy\Nampalys-Mendy,sn SEN,MF,Nice,25,1992,10.7,2,0,0,15,14,0,0,13,7,0,0,0,76,1,1,50,Matches
336,Hamza Mendyl\Hamza-Mendyl,ma MAR,DFMF,Lille,19,1997,9.5,2,1,0,11,3,0,26,9,11,0,1,0,59,3,5,37.5,Matches
