Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Massimo Gobbi\Massimo-Gobbi,it ITA,DF,Chievo,35,1980,30,30,2601,28.9,1,2,1,0,0,5,0,0.03,0.07,0.1,0.03,0.1,Matches
Edoardo Goldaniga\Edoardo-Goldaniga,it ITA,DF,Palermo,22,1993,28,26,2326,25.8,2,0,2,0,0,11,1,0.08,0,0.08,0.08,0.08,Matches
Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,21,1995,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Gustavo Gómez\Gustavo-Gomez,py PAR,DF,Milan,23,1993,18,11,1087,12.1,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Papu Gómez\Papu-Gomez,ar ARG,FWMF,Atalanta,28,1988,37,37,3119,34.7,16,10,14,2,2,6,0,0.46,0.29,0.75,0.4,0.69,Matches
Giancarlo González\Giancarlo-Gonzalez,cr CRC,DF,Palermo,28,1988,21,18,1662,18.5,1,1,1,0,0,8,3,0.05,0.05,0.11,0.05,0.11,Matches
Alberto Grassi\Alberto-Grassi,it ITA,MF,Atalanta,21,1995,18,4,701,7.8,1,0,1,0,0,2,0,0.13,0,0.13,0.13,0.13,Matches
Clément Grenier\Clement-Grenier,fr FRA,MF,Roma,25,1991,6,1,156,1.7,0,1,0,0,0,1,0,0,0.58,0.58,0,0.58,Matches
Samuel Gustafson\Samuel-Gustafson,se SWE,MF,Torino,21,1995,5,1,223,2.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jonathan de Guzmán\Jonathan-de-Guzman,nl NED,MF,Chievo,28,1987,27,15,1365,15.2,2,1,1,1,1,3,0,0.13,0.07,0.2,0.07,0.13,Matches
Norbert Gyömbér\Norbert-Gyomber,sk SVK,DF,Pescara,24,1992,10,10,845,9.4,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Ianis Hagi\Ianis-Hagi,ro ROU,FWMF,Fiorentina,17,1998,2,0,51,0.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Emil Hallfreðsson\Emil-Hallfredsson,is ISL,MF,Udinese,32,1984,28,23,1984,22,0,4,0,0,0,10,0,0,0.18,0.18,0,0.18,Matches
Marek Hamšík\Marek-Hamsik,sk SVK,MF,Napoli,29,1987,38,37,3030,33.7,12,10,12,0,0,1,0,0.36,0.3,0.65,0.36,0.65,Matches
Samir Handanovi?\Samir-Handanovic,si SVN,GK,Inter,32,1984,37,37,3330,37,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Joe Hart\Joe-Hart,eng ENG,GK,Torino,29,1987,36,36,3240,36,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Hans Hateboer\Hans-Hateboer,nl NED,MF,Atalanta,22,1994,6,3,291,3.2,0,1,0,0,0,2,0,0,0.31,0.31,0,0.31,Matches
Filip Helander\Filip-Helander,se SWE,DF,Bologna,23,1993,11,9,837,9.3,1,0,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
Bruno Henrique\Bruno-Henrique,br BRA,MF,Palermo,26,1989,33,24,2213,24.6,1,3,1,0,0,7,0,0.04,0.12,0.16,0.04,0.16,Matches
Hernanes\Hernanes,br BRA,MF,Juventus,31,1985,10,8,721,8,1,0,1,0,0,3,0,0.12,0,0.12,0.12,0.12,Matches
Përparim Hetemaj\Perparim-Hetemaj,fi FIN,MF,Chievo,29,1986,23,21,1872,20.8,0,1,0,0,0,6,0,0,0.05,0.05,0,0.05,Matches
Thomas Heurtaux\Thomas-Heurtaux,fr FRA,DF,Udinese,28,1988,12,6,528,5.9,0,1,0,0,0,3,0,0,0.17,0.17,0,0.17,Matches
Gonzalo Higuaín\Gonzalo-Higuain,ar ARG,FW,Juventus,28,1987,38,32,2966,33,24,2,24,0,0,1,0,0.73,0.06,0.79,0.73,0.79,Matches
Oscar Hiljemark\Oscar-Hiljemark,se SWE,MF,Genoa,24,1992,14,10,802,8.9,2,0,2,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
Oscar Hiljemark\Oscar-Hiljemark,se SWE,MF,Palermo,24,1992,15,12,1065,11.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Wesley Hoedt\Wesley-Hoedt,nl NED,DF,Lazio,22,1994,23,21,1882,20.9,2,0,2,0,0,5,0,0.1,0,0.1,0.1,0.1,Matches
Keisuke Honda\Keisuke-Honda,jp JPN,FW,Milan,30,1986,8,2,227,2.5,1,0,1,0,0,0,0,0.4,0,0.4,0.4,0.4,Matches
Elseid Hysaj\Elseid-Hysaj,al ALB,DF,Napoli,22,1994,35,34,3031,33.7,0,1,0,0,0,8,0,0,0.03,0.03,0,0.03,Matches
Víctor Ibarbo\Victor-Ibarbo,co COL,FWMF,Cagliari,26,1990,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mauro Icardi\Mauro-Icardi,ar ARG,FW,Inter,23,1993,34,34,3026,33.6,24,8,21,3,4,1,0,0.71,0.24,0.95,0.62,0.86,Matches
Pietro Iemmello\Pietro-Iemmello,it ITA,FW,Sassuolo,24,1992,17,3,512,5.7,5,0,4,1,1,1,0,0.88,0,0.88,0.7,0.7,Matches
Josip Ili?i?\Josip-Ilicic,si SVN,MFFW,Fiorentina,28,1988,29,23,1870,20.8,5,4,4,1,3,2,0,0.24,0.19,0.43,0.19,0.39,Matches
Ciro Immobile\Ciro-Immobile,it ITA,FW,Lazio,26,1990,36,35,3118,34.6,23,3,17,6,6,5,0,0.66,0.09,0.75,0.49,0.58,Matches
Roberto Inglese\Roberto-Inglese,it ITA,FW,Chievo,24,1991,34,22,1964,21.8,10,4,10,0,1,0,0,0.46,0.18,0.64,0.46,0.64,Matches
Lorenzo Insigne\Lorenzo-Insigne,it ITA,FW,Napoli,25,1991,37,35,2922,32.5,18,9,16,2,2,2,0,0.55,0.28,0.83,0.49,0.77,Matches
Artur Ioni??\Artur-Ionita,md MDA,MF,Cagliari,25,1990,18,14,1304,14.5,3,0,3,0,0,5,0,0.21,0,0.21,0.21,0.21,Matches
Mauricio Isla\Mauricio-Isla,cl CHI,DFMF,Cagliari,28,1988,34,32,2874,31.9,1,6,1,0,0,10,0,0.03,0.19,0.22,0.03,0.22,Matches
Juan Iturbe\Juan-Iturbe,py PAR,FWMF,Roma,23,1993,5,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Juan Iturbe\Juan-Iturbe,py PAR,MFFW,Torino,23,1993,16,4,549,6.1,1,3,1,0,0,1,0,0.16,0.49,0.66,0.16,0.66,Matches
Armando Izzo\Armando-Izzo,it ITA,DF,Genoa,24,1992,29,29,2586,28.7,0,2,0,0,0,5,0,0,0.07,0.07,0,0.07,Matches
Mato Jajalo\Mato-Jajalo,ba BIH,MF,Palermo,28,1988,26,22,1851,20.6,1,1,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,Matches
Arnel Jakupovi?\Arnel-Jakupovic,at AUT,FW,Empoli,18,1998,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lamin Jallow\Lamin-Jallow,gm GAM,FW,Chievo,22,1994,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jakub Jankto\Jakub-Jankto,cz CZE,MF,Udinese,20,1996,29,24,1898,21.1,5,4,5,0,0,6,0,0.24,0.19,0.43,0.24,0.43,Matches
Juan Jesus\Juan-Jesus,br BRA,DF,Roma,25,1991,20,13,1193,13.3,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Jorginho\Jorginho,it ITA,MF,Napoli,24,1991,27,27,2134,23.7,0,3,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches
Stevan Joveti?\Stevan-Jovetic,me MNE,FWMF,Inter,26,1989,5,0,73,0.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Mariano Julio Izco\Mariano-Julio-Izco,ar ARG,MFDF,Chievo,33,1983,25,12,1171,13,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
Omar El Kaddouri\Omar-El-Kaddouri,ma MAR,MF,Empoli,25,1990,15,15,1244,13.8,3,1,3,0,0,5,0,0.22,0.07,0.29,0.22,0.29,Matches
Omar El Kaddouri\Omar-El-Kaddouri,ma MAR,MF,Napoli,25,1990,5,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nikola Kalini?\Nikola-Kalinic,hr CRO,FW,Fiorentina,28,1988,32,26,2485,27.6,15,2,14,1,2,5,1,0.54,0.07,0.62,0.51,0.58,Matches
Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Udinese,31,1985,33,33,2958,32.9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Grigoris Kastanos\Grigoris-Kastanos,cy CYP,MFFW,Pescara,18,1998,8,3,280,3.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Moise Kean\Moise-Kean,it ITA,FW,Juventus,16,2000,3,0,21,0.2,1,0,1,0,0,0,0,4.29,0,4.29,4.29,4.29,Matches
Franck Kessié\Franck-Kessie,ci CIV,MF,Atalanta,19,1996,30,25,2220,24.7,6,3,4,2,2,6,3,0.24,0.12,0.36,0.16,0.28,Matches
Sami Khedira\Sami-Khedira,de GER,MF,Juventus,29,1987,31,31,2539,28.2,5,3,5,0,0,2,0,0.18,0.11,0.28,0.18,0.28,Matches
Ricardo Kishna\Ricardo-Kishna,nl NED,FW,Lazio,21,1995,5,2,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sofian Kiyine\Sofian-Kiyine,ma MAR,MF,Chievo,18,1997,7,0,73,0.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Inter,23,1993,24,20,1711,19,1,2,1,0,0,5,1,0.05,0.11,0.16,0.05,0.16,Matches
Panagiotis Kone\Panagiotis-Kone,gr GRE,MF,Udinese,29,1987,5,3,301,3.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Abdoulay Konko\Abdoulay-Konko,fr FRA,MFDF,Atalanta,32,1984,10,7,617,6.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Andrej Kotnik\Andrej-Kotnik,si SVN,MF,Crotone,20,1995,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,25,1991,28,28,2471,27.5,2,0,2,0,0,6,0,0.07,0,0.07,0.07,0.07,Matches
Emil Krafth\Emil-Krafth,se SWE,DF,Bologna,21,1994,26,16,1656,18.4,0,0,0,0,0,1,2,0,0,0,0,0,Matches
Ladislav Krej?í\Ladislav-Krejci,cz CZE,FWMF,Bologna,24,1992,37,33,2772,30.8,1,8,0,1,1,2,0,0.03,0.26,0.29,0,0.26,Matches
