Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,27-275,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,9,Matches
Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,24-091,1997,0.5,0,0,0,1,0,0,3,0,3,0,0,0,7,Matches
Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,22-038,1999,0.4,0,0,0,1,0,0,0,0,1,0,0,0,2,Matches
Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,23-297,1997,15.8,3,0,0,21,36,0,10,14,23,0,0,0,178,Matches
Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,21-055,2000,5.8,1,0,0,7,3,2,7,4,5,0,0,0,48,Matches
Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,23-217,1997,19.8,2,0,0,32,31,19,26,8,13,0,0,0,107,Matches
Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,34-050,1987,27.8,1,0,0,1,3,0,0,0,0,0,1,0,127,Matches
Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,20-055,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,19-102,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,Matches
Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,22-111,1999,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,Matches
Arne Maier\Arne-Maier,de GER,MFFW,Arminia,22-111,1999,8.5,0,0,0,2,5,2,7,8,9,0,0,0,85,Matches
Yunus Mall?\Yunus-Malli,tr TUR,MF,Wolfsburg,29-064,1992,0.6,0,0,0,0,2,0,0,0,0,0,0,0,2,Matches
Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,23-042,1998,23.4,4,0,0,34,28,0,10,27,18,0,0,0,225,Matches
Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,22-081,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,24-007,1997,2.9,0,0,0,4,0,0,13,3,2,0,0,0,17,Matches
Javi Martínez\Javi-Martinez,es ESP,MFDF,Bayern Munich,32-239,1988,4.6,0,0,0,2,7,0,0,10,5,0,0,0,55,Matches
Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,28-086,1993,19.6,6,0,0,26,12,0,5,37,21,0,0,0,222,Matches
Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,20-199,2000,6.4,1,0,0,4,6,4,5,9,12,0,0,0,55,Matches
Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,23-305,1997,11.1,2,0,0,8,8,13,4,1,5,1,0,0,50,Matches
Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,20-232,2000,2.4,0,0,0,2,1,1,1,2,3,0,0,0,11,Matches
Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,23-139,1997,15.4,5,0,0,21,16,1,5,39,22,0,1,0,193,Matches
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,32-037,1989,8.9,2,0,0,5,9,9,1,3,6,0,0,0,35,Matches
Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,26-010,1995,15.9,5,0,0,41,19,1,47,16,22,0,0,0,172,Matches
Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,21-064,2000,12.3,7,0,0,30,17,2,12,12,15,0,1,0,80,Matches
Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,23-203,1997,6.7,5,1,0,10,4,0,6,8,16,0,0,0,64,Matches
Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,25-014,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Admir Mehmedi\Admir-Mehmedi,ch SUI,MFFW,Wolfsburg,30-044,1991,9.1,0,0,0,20,15,9,20,6,12,0,0,0,73,Matches
Hamza Mendyl\Hamza-Mendyl,ma MAR,FW,Schalke 04,23-190,1997,1.1,1,0,0,2,0,0,2,1,1,0,0,0,5,Matches
Jorge Meré\Jorge-Mere,es ESP,DF,Köln,24-012,1997,14.4,2,0,0,5,6,0,0,23,14,0,0,0,142,Matches
Thomas Meunier\Thomas-Meunier,be BEL,DF,Dortmund,29-229,1991,15.4,3,0,0,17,5,3,47,15,24,1,0,0,144,Matches
Max Meyer\Max-Meyer,de GER,MF,Köln,25-223,1995,3.6,0,0,0,2,4,0,3,3,5,0,0,0,40,Matches
