Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Marcelo Díaz\Marcelo-Diaz,cl CHI,MF,Celta Vigo,29,1986,18.3,5,0,0,18,13,0,23,33,19,0,0,0,Matches
Víctor Díaz\Victor-Diaz,es ESP,DF,Leganés,28,1988,20.1,6,0,0,42,15,0,63,52,43,0,1,0,Matches
Didier Digard\Didier-Digard,fr FRA,MF,Osasuna,30,1986,2.1,1,0,0,4,2,0,0,4,6,0,0,0,Matches
Lucas Digne\Lucas-Digne,fr FRA,DF,Barcelona,23,1993,13,3,0,0,18,10,4,35,23,19,0,0,0,Matches
Papakouli Diop\Papakouli-Diop,sn SEN,MF,Espanyol,30,1986,10.1,6,0,0,33,13,0,2,21,15,0,0,0,Matches
Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,25,1990,3,0,0,0,0,1,0,0,0,1,0,0,0,Matches
Ryan Donk\Ryan-Donk,sr SUR,MFDF,Betis,30,1986,9.6,3,0,0,14,10,0,2,24,16,0,0,0,Matches
Jonathan dos Santos\Jonathan-dos-Santos,mx MEX,MF,Villarreal,26,1990,24.7,4,0,0,29,19,5,57,38,37,0,0,0,Matches
Mauro dos Santos\Mauro-dos-Santos,ar ARG,DF,Eibar,27,1989,8.5,1,0,0,5,5,0,1,18,9,0,0,0,Matches
Douglas\Douglas,br BRA,DFMF,Sporting Gijón,25,1990,19.1,6,0,0,23,33,1,95,31,35,0,0,0,Matches
Óscar Duarte\Oscar-Duarte,cr CRC,DF,Espanyol,27,1989,12.5,4,0,0,9,2,2,0,23,10,0,0,0,Matches
Rubén Duarte\Ruben-Duarte,es ESP,DF,Espanyol,20,1995,1.1,1,0,0,1,0,0,1,8,2,0,0,0,Matches
Duda\Duda,pt POR,MF,Málaga,36,1980,4.2,3,0,0,6,17,1,56,6,6,0,0,0,Matches
Riza Durmisi\Riza-Durmisi,dk DEN,DF,Betis,22,1994,26.5,4,0,0,22,33,2,161,31,33,0,0,0,Matches
Elderson Echiéjilé\Elderson-Echiejile,ng NGA,DF,Sporting Gijón,28,1988,2.2,0,0,0,5,4,0,4,5,1,0,0,0,Matches
Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,22,1994,5.2,0,1,0,4,1,0,6,12,7,0,1,0,Matches
Gorka Elustondo\Gorka-Elustondo,es ESP,DF,Athletic Club,29,1987,1.2,0,0,0,0,1,0,5,4,4,0,0,0,Matches
Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,22,1993,8.8,4,0,0,9,6,0,0,9,7,0,0,0,Matches
Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Málaga,19,1997,3.8,1,0,0,10,2,5,10,2,4,0,0,0,Matches
Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,26,1990,31.4,5,0,0,58,49,38,35,10,24,1,0,0,Matches
Juanan Entrena\Juanan-Entrena,es ESP,MF,Granada,20,1996,1.2,0,0,,0,,,,,,,,,Matches
Javier Eraso\Javier-Eraso,es ESP,MF,Athletic Club,26,1990,4.2,2,0,0,12,3,4,17,6,5,0,0,0,Matches
Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,23,1993,22.4,10,1,0,50,22,2,8,42,43,1,0,0,Matches
Sergio Escudero\Sergio-Escudero,es ESP,DFMF,Sevilla,26,1989,25.4,7,0,0,30,42,2,72,52,49,0,0,0,Matches
Cristian Espinoza\Cristian-Espinoza,ar ARG,MF,Alavés,21,1995,1.8,1,0,0,4,4,0,10,2,2,0,0,0,Matches
Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Granada,18,1998,2,1,0,0,2,4,0,1,6,7,0,1,0,Matches
Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,29,1987,26.6,9,0,0,23,26,0,201,37,39,0,0,0,Matches
Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Athletic Club,28,1987,7.9,2,0,0,5,4,0,1,15,13,0,1,0,Matches
Edu Expósito\Edu-Exposito,es ESP,MF,La Coruña,19,1996,0.5,0,0,0,2,0,0,0,0,1,0,0,0,Matches
Erik Expósito\Erik-Exposito,es ESP,FW,Las Palmas,20,1996,1.8,0,0,0,6,0,1,0,0,0,0,0,0,Matches
Fayçal Fajr\Faycal-Fajr,ma MAR,MF,La Coruña,27,1988,13.5,3,2,1,19,22,2,105,7,22,0,0,0,Matches
Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Alavés,27,1989,24.9,8,4,2,30,11,1,4,64,19,0,0,0,Matches
Kiko Femenía\Kiko-Femenia,es ESP,DF,Alavés,25,1991,27.8,6,0,0,18,23,6,66,45,41,0,0,0,Matches
Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Osasuna,18,1998,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,29,1986,14.6,2,0,0,0,3,0,0,1,0,0,0,0,Matches
Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Atlético Madrid,30,1986,1.5,0,0,0,1,4,0,0,9,3,0,0,0,Matches
Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,20,1996,1,0,0,0,1,0,1,0,0,1,0,0,0,Matches
Mario Fernández\Mario-Fernandez,es ESP,GK,Osasuna,28,1988,6.5,3,0,0,0,0,0,1,0,1,0,2,0,Matches
Pablo Fernández\Pablo-Fernandez,es ESP,MF,Sporting Gijón,19,1996,0.2,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Javier Flaño\Javier-Flano,es ESP,DF,Osasuna,31,1984,1.5,0,0,0,0,1,0,5,5,1,0,0,0,Matches
Miguel Flaño\Miguel-Flano,es ESP,DF,Osasuna,31,1984,11.5,3,0,0,11,5,1,1,29,8,0,0,0,Matches
Andreu Fontàs\Andreu-Fontas,es ESP,DF,Celta Vigo,26,1989,16.2,7,2,1,21,6,0,0,34,29,0,1,0,Matches
Pablo Fornals\Pablo-Fornals,es ESP,MF,Málaga,20,1996,29.6,6,0,0,33,38,2,18,36,43,1,0,0,Matches
Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,23,1993,20.8,5,0,0,33,16,0,63,30,33,0,0,0,Matches
Javi Fuego\Javi-Fuego,es ESP,MF,Espanyol,32,1984,28.5,9,2,1,53,26,1,2,66,45,0,1,0,Matches
Gabi\Gabi,es ESP,MF,Atlético Madrid,33,1983,32.1,9,0,0,69,36,0,54,78,85,0,1,0,Matches
Gabriel\Gabriel,br BRA,MFFW,Leganés,22,1993,30.3,9,0,0,67,67,8,21,22,45,0,0,0,Matches
