Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,21-075,2000,15.2,5,0,0,26,9,0,3,19,18,0,1,0,187,Matches
Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,25-274,1995,19.2,5,0,0,31,62,10,62,13,18,1,0,0,100,Matches
José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,31-115,1990,24.6,3,0,0,46,15,2,12,70,41,0,1,0,311,Matches
Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,27-352,1993,28.7,4,0,0,29,43,18,22,2,3,0,0,0,75,Matches
Saša Luki?\Sasa-Lukic,rs SRB,MF,Torino,24-260,1996,20.3,4,0,0,39,32,2,21,13,23,1,0,0,147,Matches
Senad Luli?\Senad-Lulic,ba BIH,DF,Lazio,35-102,1986,4.6,1,0,0,9,2,0,13,6,7,0,0,0,41,Matches
Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Crotone,24-236,1996,20.9,5,1,1,28,19,0,0,18,19,0,0,0,164,Matches
Lyanco\Lyanco,br BRA,DF,Torino,24-088,1997,20.3,8,0,0,23,13,0,4,47,10,0,0,0,221,Matches
Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,27-190,1993,22.3,9,2,2,26,20,1,57,22,14,0,1,0,161,Matches
Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Crotone,27-215,1993,20.2,8,0,0,53,12,0,1,29,38,0,1,0,192,Matches
Christian Maggio\Christian-Maggio,it ITA,DF,Benevento,39-078,1982,3.3,2,0,0,6,7,0,3,2,5,0,0,0,26,Matches
Giulio Maggiore\Giulio-Maggiore,it ITA,MF,Spezia,23-049,1998,20.7,2,0,0,45,34,2,20,23,36,0,0,0,155,Matches
Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,36-169,1984,4.9,2,0,0,5,6,0,1,5,8,0,0,0,68,Matches
Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Hellas Verona,25-208,1995,15.4,8,0,0,42,26,0,1,41,9,0,0,1,174,Matches
Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MF,Udinese,22-322,1998,4,1,0,0,8,4,0,2,2,7,0,0,0,34,Matches
Nikola Maksimovi?\Nikola-Maksimovic,rs SRB,DF,Napoli,29-156,1991,13.4,1,0,0,6,6,0,1,16,6,0,0,1,137,Matches
Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Fiorentina,29-273,1991,2.3,0,0,0,4,1,0,6,2,2,0,0,0,17,Matches
Kévin Malcuit\Kevin-Malcuit,ma MAR,MFFW,Napoli,29-273,1991,0.4,0,0,0,0,0,0,0,2,0,0,0,0,2,Matches
Daniel Maldini\Daniel-Maldini,it ITA,FWMF,Milan,19-201,2001,0.3,0,0,0,4,1,0,1,0,0,0,0,0,5,Matches
Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FWMF,Atalanta,27-361,1993,16.9,3,0,0,38,43,1,23,3,13,0,0,0,128,Matches
Dennis Man\Dennis-Man,ro ROU,FWMF,Parma,22-247,1998,7.8,1,0,0,6,7,0,9,6,4,0,0,0,55,Matches
Gianluca Mancini\Gianluca-Mancini,it ITA,DF,Roma,25-013,1996,27.7,9,0,0,61,24,2,10,63,38,0,1,0,204,Matches
Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Torino,23-305,1997,11.9,4,1,1,26,24,1,7,13,12,0,0,0,146,Matches
Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,23-305,1997,4.4,0,0,0,5,4,1,3,3,5,0,1,0,37,Matches
Mario Mandžuki?\Mario-Mandzukic,hr CRO,FW,Milan,34-344,1986,2.1,0,0,0,7,2,2,1,1,4,0,0,0,8,Matches
Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,29-320,1991,20.5,5,0,0,18,9,1,2,15,14,1,1,0,153,Matches
Juan Manuel Ramos\Juan-Manuel-Ramos,uy URU,DF,Spezia,24-140,1996,3,1,0,0,3,2,0,2,0,1,0,0,0,22,Matches
Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,38-082,1983,2.7,0,0,0,0,0,0,0,0,0,0,0,0,8,Matches
Riccardo Marchizza\Riccardo-Marchizza,it ITA,DF,Spezia,23-035,1998,14.3,4,0,0,16,12,3,32,15,12,0,1,0,120,Matches
Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,29-074,1992,29,6,0,0,38,30,0,3,31,24,1,0,0,254,Matches
R?zvan Marin\Razvan-Marin,ro ROU,MF,Cagliari,24-342,1996,29.4,5,0,0,45,21,3,39,23,44,0,0,0,265,Matches
Marlon\Marlon,br BRA,DF,Sassuolo,25-235,1995,17.5,3,0,0,20,7,0,0,21,17,0,1,0,138,Matches
Luca Marrone\Luca-Marrone,it ITA,DF,Crotone,31-033,1990,15.1,6,0,0,29,11,0,0,11,18,0,1,1,163,Matches
Lucas Martínez Quarta\Lucas-Martinez-Quarta,ar ARG,DF,Fiorentina,24-355,1996,15.5,4,1,0,20,9,0,3,35,28,0,1,0,120,Matches
Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,23-251,1997,24.9,3,0,0,55,49,11,16,26,15,2,0,0,117,Matches
Adam Maruši?\Adam-Marusic,me MNE,DF,Lazio,28-195,1992,28.2,3,0,0,15,14,4,43,42,22,0,1,0,197,Matches
Andrea Masiello\Andrea-Masiello,it ITA,DF,Genoa,35-084,1986,24,5,0,0,12,12,1,5,29,17,0,1,0,225,Matches
Giuseppe Mastinu\Giuseppe-Mastinu,it ITA,FW,Spezia,29-203,1991,0.4,0,0,0,1,1,0,0,1,1,0,0,0,4,Matches
