Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,26-041,1995,22,8,0,0,21,7,1,50,12,18,1,0,0,200,31,33,48.4,Matches
Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-262,1995,12.5,0,0,0,12,12,2,25,10,16,0,1,0,103,3,14,17.6,Matches
Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-145,1999,2.9,0,0,0,4,1,0,4,1,5,0,1,0,24,1,4,20,Matches
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-147,1990,15.7,2,1,1,29,17,12,5,4,7,0,0,0,57,163,116,58.4,Matches
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-184,1990,12.8,1,0,0,10,12,2,18,13,11,0,0,0,89,16,26,38.1,Matches
Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-074,1998,11.3,4,0,0,12,4,2,18,3,16,0,0,0,92,14,14,50,Matches
Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-203,1997,11.7,2,0,0,19,16,0,9,10,8,1,0,0,72,2,13,13.3,Matches
Bernard\Bernard,br BRA,FWMF,Everton,28-233,1992,4.4,2,0,0,6,6,0,6,6,4,0,0,0,54,0,0,,Matches
Bernardo\Bernardo,br BRA,DFMF,Brighton,25-350,1995,2.3,0,0,0,1,1,0,4,0,5,0,0,0,12,5,6,45.5,Matches
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-267,1989,28.9,5,0,0,29,35,3,57,31,44,0,1,0,209,34,54,38.6,Matches
Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-242,1996,29.6,6,1,0,45,25,0,8,45,61,0,0,0,331,36,20,64.3,Matches
Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-276,2000,10.8,2,0,0,14,7,1,9,17,14,0,0,0,78,16,25,39,Matches
Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-085,1991,19,1,0,0,14,8,0,0,17,23,0,1,0,170,62,16,79.5,Matches
Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-130,1996,26,0,0,0,14,48,11,47,20,12,0,0,0,162,20,57,26,Matches
Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-105,1992,11.7,3,0,0,21,9,2,25,9,12,0,0,0,110,21,20,51.2,Matches
Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,21-028,2000,11.6,1,0,0,18,12,4,9,5,7,0,0,0,57,9,43,17.3,Matches
Nathan Broadhead\Nathan-Broadhead,wal WAL,MF,Everton,23-024,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Matches
Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-131,1995,26.8,2,0,0,35,31,1,14,47,25,0,0,0,342,67,35,65.7,Matches
Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-224,1993,5.3,2,0,0,8,5,0,15,9,8,1,1,0,49,6,3,66.7,Matches
Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-179,1996,10.3,1,0,0,11,2,0,15,26,14,0,0,1,84,28,14,66.7,Matches
Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,24-022,1997,12.9,2,0,0,23,6,3,18,2,9,0,0,0,51,25,47,34.7,Matches
Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-355,1992,17.9,5,0,0,27,4,4,30,25,15,0,1,1,170,80,34,70.2,Matches
