Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Ander Capa\Ander-Capa,es ESP,DF,Eibar,25,1992,33,25,2256,25.1,0,1,0,0,0,4,0,0,0.04,0.04,0,0.04,0.2,0.2,1.6,1.8,0.01,0.06,0.07,0.01,0.07,Matches
Lionel Carole\Lionel-Carole,fr FRA,DF,Sevilla,26,1991,6,6,540,6,0,1,0,0,0,0,0,0,0.17,0.17,0,0.17,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches
Yannick Carrasco\Yannick-Carrasco,be BEL,MFFW,Atlético Madrid,23,1993,17,8,901,10,3,4,3,0,0,3,0,0.3,0.4,0.7,0.3,0.7,2,2,2.4,4.4,0.2,0.24,0.44,0.2,0.44,Matches
Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,28,1988,6,5,461,5.1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03,Matches
Federico Cartabia\Federico-Cartabia,ar ARG,FWMF,La Coruña,24,1993,20,16,1320,14.7,2,1,2,0,0,6,0,0.14,0.07,0.2,0.14,0.2,1.5,1.5,1.9,3.4,0.1,0.13,0.23,0.1,0.23,Matches
Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,25,1992,25,25,2223,24.7,0,4,0,0,0,11,1,0,0.16,0.16,0,0.16,0.7,0.7,3,3.7,0.03,0.12,0.15,0.03,0.15,Matches
Casemiro\Casemiro,br BRA,MF,Real Madrid,25,1992,30,30,2589,28.8,5,3,5,0,0,8,0,0.17,0.1,0.28,0.17,0.28,2.9,2.9,2,4.9,0.1,0.07,0.17,0.1,0.17,Matches
Kiko Casilla\Kiko-Casilla,es ESP,GK,Real Madrid,30,1986,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dani Castellano\Dani-Castellano,es ESP,DF,Las Palmas,29,1987,24,23,2023,22.5,0,1,0,0,0,5,0,0,0.04,0.04,0,0.04,0.1,0.1,0.9,1,0.01,0.04,0.04,0.01,0.04,Matches
Javi Castellano\Javi-Castellano,es ESP,MF,Las Palmas,29,1987,23,17,1567,17.4,0,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0,0.02,0.02,0,0.02,Matches
Samu Castillejo\Samu-Castillejo,es ESP,MFFW,Villarreal,22,1995,30,25,2066,23,6,5,6,0,0,4,0,0.26,0.22,0.48,0.26,0.48,4.2,4.2,3.3,7.5,0.18,0.14,0.32,0.18,0.32,Matches
Chory Castro\Chory-Castro,uy URU,MFFW,Málaga,32,1984,26,26,2049,22.8,4,2,3,1,1,5,2,0.18,0.09,0.26,0.13,0.22,3.5,2.4,2.2,4.6,0.15,0.1,0.25,0.11,0.2,Matches
Jonny Castro\Jonny-Castro,es ESP,DF,Celta Vigo,23,1994,36,36,3200,35.6,2,1,2,0,0,10,0,0.06,0.03,0.08,0.06,0.08,1.7,1.7,1.8,3.5,0.05,0.05,0.1,0.05,0.1,Matches
Rubén Castro\Ruben-Castro,es ESP,FW,Betis,36,1981,10,3,359,4,1,1,0,1,1,0,0,0.25,0.25,0.5,0,0.25,1.6,1,0.5,1.5,0.4,0.13,0.53,0.25,0.38,Matches
Dani Ceballos\Dani-Ceballos,es ESP,MFFW,Real Madrid,20,1996,12,4,404,4.5,2,0,2,0,0,0,0,0.45,0,0.45,0.45,0.45,0.5,0.5,0.4,0.9,0.11,0.08,0.19,0.11,0.19,Matches
Emanuel Cecchini\Emanuel-Cecchini,ar ARG,MFDF,Málaga,20,1996,2,0,30,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Nereo Champagne\Nereo-Champagne,ar ARG,GK,Leganés,32,1985,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Charles\Charles,br BRA,FW,Eibar,33,1984,30,18,1578,17.5,8,1,8,0,0,5,1,0.46,0.06,0.51,0.46,0.51,5.9,5.9,1.3,7.3,0.34,0.08,0.41,0.34,0.41,Matches
Chema\Chema,es ESP,DF,Levante,25,1992,25,23,2020,22.4,1,0,1,0,0,8,1,0.04,0,0.04,0.04,0.04,0.4,0.4,0.2,0.5,0.02,0.01,0.02,0.02,0.02,Matches
