Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Valentin Rosier\Valentin-Rosier,fr FRA,DF,Dijon,19,1996,3,0,0,0,6,2,0,3,8,2,0,0,0,Matches
Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Montpellier,23,1993,30.4,3,0,0,21,34,0,116,44,43,0,0,0,Matches
Nolan Roux\Nolan-Roux,fr FRA,FW,Saint-Étienne,28,1988,13.6,2,0,0,12,30,9,17,4,8,0,0,0,Matches
Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,Saint-Étienne,29,1986,31,0,0,0,0,1,0,0,1,1,0,0,0,Matches
Vincent Rüfli\Vincent-Rufli,ch SUI,DFMF,Dijon,28,1988,16.4,8,0,0,21,30,0,28,37,51,1,0,0,Matches
Maciej Rybus\Maciej-Rybus,pl POL,DFMF,Lyon,26,1989,13.7,1,0,0,20,16,3,45,29,25,0,0,0,Matches
Youssouf Sabaly\Youssouf-Sabaly,sn SEN,DF,Bordeaux,23,1993,29.4,3,0,0,32,43,1,91,74,63,2,0,0,Matches
Wesley Saïd\Wesley-Said,fr FRA,MFFW,Rennes,21,1995,11.5,1,0,0,17,20,1,20,4,10,0,0,0,Matches
Jamel Saihi\Jamel-Saihi,tn TUN,MF,Angers,29,1987,2.6,0,0,0,5,3,0,0,3,5,0,0,0,Matches
Jamel Saihi\Jamel-Saihi,tn TUN,MF,Montpellier,29,1987,0.7,0,0,0,1,1,0,0,2,1,0,0,0,Matches
Dylan Saint-Louis\Dylan-Saint-Louis,cg CGO,MF,Saint-Étienne,21,1995,0.9,0,0,0,0,0,0,4,3,1,0,0,0,Matches
Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Bastia,19,1997,30,1,1,0,20,64,8,109,10,17,0,0,0,Matches
Nicolas Saint-Ruf\Nicolas-Saint-Ruf,fr FRA,DF,Montpellier,23,1992,6.9,0,0,0,4,8,1,0,13,6,0,0,0,Matches
Nicolas Saint-Ruf\Nicolas-Saint-Ruf,fr FRA,DF,Bastia,23,1992,3.5,1,3,1,6,6,0,0,4,6,0,1,0,Matches
Henri Saivet\Henri-Saivet,sn SEN,MF,Saint-Étienne,25,1990,19.6,3,0,0,13,25,2,33,21,17,0,0,0,Matches
Hiroki Sakai\Hiroki-Sakai,jp JPN,DF,Marseille,26,1990,33.5,6,0,0,47,20,2,75,65,73,0,0,0,Matches
Emiliano Sala\Emiliano-Sala,ar ARG,FW,Nantes,25,1990,28.5,6,0,0,67,49,32,14,13,23,1,0,0,Matches
Yannis Salibur\Yannis-Salibur,fr FRA,MFFW,Guingamp,25,1991,31.2,2,0,0,26,79,11,205,22,28,2,1,0,Matches
Romain Salin\Romain-Salin,fr FRA,GK,Guingamp,32,1984,1,0,0,0,0,1,0,0,1,0,0,0,0,Matches
Frédéric Sammaritano\Frederic-Sammaritano,fr FRA,MFFW,Dijon,30,1986,21.8,3,0,0,13,32,4,145,14,24,0,0,0,Matches
Pape Sané\Pape-Sane,sn SEN,FW,Caen,24,1991,3.8,0,0,0,8,4,2,1,1,2,0,0,0,Matches
Ibrahim Sangaré\Ibrahim-Sangare,ci CIV,MF,Toulouse,18,1997,2.9,1,0,0,6,5,0,1,7,17,0,0,0,Matches
Younousse Sankharé\Younousse-Sankhare,sn SEN,MF,Lille,26,1989,17.5,3,2,1,38,18,0,3,23,27,0,0,0,Matches
Younousse Sankharé\Younousse-Sankhare,sn SEN,MF,Bordeaux,26,1989,15.5,2,0,0,20,16,4,2,14,33,0,1,0,Matches
Baissama Sankoh\Baissama-Sankoh,gn GUI,MFDF,Guingamp,24,1992,11.6,3,0,0,19,19,0,4,27,18,0,0,0,Matches
Killian Sanson\Killian-Sanson,fr FRA,MF,Montpellier,19,1997,0.2,0,0,0,1,0,0,0,0,0,0,0,0,Matches
Morgan Sanson\Morgan-Sanson,fr FRA,MF,Montpellier,21,1994,19.4,2,0,0,21,35,4,99,32,27,0,0,0,Matches
Morgan Sanson\Morgan-Sanson,fr FRA,MF,Marseille,21,1994,15.1,1,0,0,18,27,4,32,11,21,0,0,0,Matches
Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Angers,21,1995,34.1,2,0,0,47,53,1,16,75,73,0,0,1,Matches
Ivan Santini\Ivan-Santini,hr CRO,FW,Caen,27,1989,31.9,7,0,0,82,74,12,2,9,11,2,1,0,Matches
Bouna Sarr\Bouna-Sarr,gn GUI,MFFW,Marseille,24,1992,10.5,1,0,0,15,14,8,39,14,18,1,0,0,Matches
Ismaila Sarr\Ismaila-Sarr,sn SEN,MF,Metz,18,1998,21.6,2,0,0,26,56,5,71,26,20,4,0,0,Matches
Malang Sarr\Malang-Sarr,fr FRA,DF,Nice,17,1999,24.5,4,0,0,19,14,0,3,55,26,0,1,0,Matches
Faïz Selemani\Faiz-Selemani,km COM,FWMF,Lorient,22,1993,0.7,2,0,0,3,1,0,3,3,1,0,1,0,Matches
Ole Selnæs\Ole-Selnaes,no NOR,MF,Saint-Étienne,22,1994,23,4,0,0,26,14,0,8,49,40,0,0,0,Matches
Jean Seri\Jean-Seri,ci CIV,MF,Nice,25,1991,33.1,4,0,0,24,42,1,136,31,25,1,0,0,Matches
Grégory Sertic\Gregory-Sertic,fr FRA,DFMF,Marseille,26,1989,7.3,0,0,0,6,6,1,2,23,10,0,0,1,Matches
