Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Ignacio Camacho\Ignacio-Camacho,es ESP,MFDF,Wolfsburg,27,1990,10.6,1,0,0,13,23,1,0,14,18,0,0,0,188,36,16,69.2,Matches
Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,25,1992,34,1,0,0,1,8,0,0,0,1,0,0,0,206,0,0,,Matches
Gonzalo Castro\Gonzalo-Castro,de GER,MF,Dortmund,30,1987,13.4,3,0,0,19,10,0,13,12,14,0,0,0,125,6,9,40,Matches
Marijan ?avar\Marijan-Cavar,ba BIH,FWMF,Eint Frankfurt,19,1998,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
Timothy Chandler\Timothy-Chandler,us USA,DFMF,Eint Frankfurt,27,1990,21,3,0,0,23,19,4,73,27,18,0,0,0,174,25,34,42.4,Matches
Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,30,1987,24.3,2,0,0,43,14,0,4,26,45,0,1,0,310,19,23,45.2,Matches
Christian Clemens\Christian-Clemens,de GER,MFFW,Köln,25,1991,7.2,2,0,0,13,6,0,19,2,6,0,0,0,58,5,14,26.3,Matches
Coke\Coke,es ESP,MF,Schalke 04,30,1987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,21,1996,12.8,0,0,0,7,20,2,63,5,4,1,0,0,96,12,8,60,Matches
Marvin Compper\Marvin-Compper,de GER,DF,RB Leipzig,32,1985,1,0,0,0,1,0,0,0,2,1,0,0,0,16,1,0,100,Matches
Jhon Córdoba\Jhon-Cordoba,co COL,FW,Köln,24,1993,10.6,1,0,0,28,38,13,8,1,7,0,0,0,46,12,36,25,Matches
Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Augsburg,19,1997,6.5,3,0,0,21,12,7,4,1,4,0,0,0,30,13,29,31,Matches
Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,24,1993,13.4,1,0,0,11,5,0,32,15,24,0,0,0,125,23,22,51.1,Matches
Mickaël Cuisance\Mickael-Cuisance,fr FRA,MFFW,M'Gladbach,17,1999,13.4,2,0,0,28,16,1,13,5,21,0,0,0,131,8,13,38.1,Matches
Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,21,1996,12.7,4,0,0,31,9,0,4,16,22,0,0,0,122,1,10,9.1,Matches
Kevin Danso\Kevin-Danso,at AUT,DF,Augsburg,18,1998,12.3,2,0,0,17,16,0,8,14,11,0,0,0,151,32,22,59.3,Matches
