Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Curtis Davies\Curtis-Davies,eng ENG,DF,Hull City,31,1985,26,25,2135,23.7,0,2,0,0,0,4,0,0,0.08,0.08,0,0.08,Matches
Tom Davies\Tom-Davies,eng ENG,MF,Everton,18,1998,24,18,1544,17.2,2,3,2,0,0,4,0,0.12,0.17,0.29,0.12,0.29,Matches
Steven Davis\Steven-Davis,nir NIR,MF,Southampton,31,1985,32,29,2643,29.4,0,3,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches
Craig Dawson\Craig-Dawson,eng ENG,DF,West Brom,26,1990,37,37,3276,36.4,4,0,4,0,0,10,0,0.11,0,0.11,0.11,0.11,Matches
Michael Dawson\Michael-Dawson,eng ENG,DF,Hull City,32,1983,22,19,1722,19.1,3,0,3,0,0,4,0,0.16,0,0.16,0.16,0.16,Matches
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,25,1991,36,33,2877,32,6,17,6,0,1,4,0,0.19,0.53,0.72,0.19,0.72,Matches
Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Arsenal,31,1985,1,1,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,28,1988,37,31,2944,32.7,10,4,7,3,3,7,0,0.31,0.12,0.43,0.21,0.34,Matches
Jermain Defoe\Jermain-Defoe,eng ENG,FW,Sunderland,33,1982,37,37,3321,36.9,15,2,10,5,5,1,0,0.41,0.05,0.46,0.27,0.33,Matches
Steven Defour\Steven-Defour,be BEL,MF,Burnley,28,1988,21,16,1068,11.9,1,3,1,0,0,1,0,0.08,0.25,0.34,0.08,0.34,Matches
Damien Delaney\Damien-Delaney,ie IRL,DF,Crystal Palace,35,1981,30,21,2014,22.4,0,2,0,0,0,8,0,0,0.09,0.09,0,0.09,Matches
Fabian Delph\Fabian-Delph,eng ENG,MF,Manchester City,26,1989,7,2,224,2.5,1,0,1,0,0,1,0,0.4,0,0.4,0.4,0.4,Matches
Mousa Dembélé\Mousa-Dembele,be BEL,MF,Tottenham,29,1987,30,24,2056,22.8,1,1,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,Matches
Jason Denayer\Jason-Denayer,be BEL,MFDF,Sunderland,21,1995,24,22,1877,20.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Memphis Depay\Memphis-Depay,nl NED,FWMF,Manchester Utd,22,1994,4,0,24,0.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Swansea City,23,1992,8,7,662,7.4,1,0,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
Gerard Deulofeu\Gerard-Deulofeu,es ESP,FWMF,Everton,22,1994,11,4,460,5.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,22,1994,36,34,3043,33.8,2,1,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,Matches
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Southampton,25,1991,21,21,1853,20.6,1,0,1,0,0,4,2,0.05,0,0.05,0.05,0.05,Matches
Adama Diomande\Adama-Diomande,no NOR,FWMF,Hull City,26,1990,22,13,1171,13,2,0,2,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
Papy Djilobodji\Papy-Djilobodji,sn SEN,DF,Sunderland,27,1988,18,17,1578,17.5,0,0,0,0,0,5,2,0,0,0,0,0,Matches
Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,23,1993,20,14,1361,15.1,1,0,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
Stewart Downing\Stewart-Downing,eng ENG,MFFW,Middlesbrough,32,1984,30,24,2214,24.6,1,3,1,0,0,1,0,0.04,0.12,0.16,0.04,0.16,Matches
Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Leicester City,26,1990,29,27,2466,27.4,1,2,1,0,0,6,0,0.04,0.07,0.11,0.04,0.11,Matches
Nathan Dyer\Nathan-Dyer,eng ENG,MFFW,Swansea City,28,1987,8,3,214,2.4,0,1,0,0,0,0,0,0,0.42,0.42,0,0.42,Matches
Ovie Ejaria\Ovie-Ejaria,eng ENG,MF,Liverpool,18,1997,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Omar Elabdellaoui\Omar-Elabdellaoui,no NOR,DFMF,Hull City,24,1991,8,7,615,6.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andrew Eleftheriou\Andrew-Eleftheriou,eng ENG,DF,Watford,18,1997,1,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DFMF,Hull City,28,1987,33,28,2524,28,0,2,0,0,0,3,1,0,0.07,0.07,0,0.07,Matches
