Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Paulo Oliveira\Paulo-Oliveira,pt POR,DF,Eibar,29-111,1992,24.5,3,0,0,24,7,1,1,30,20,0,0,0,312,90,55,62.1,Matches
Mathías Olivera\Mathias-Olivera,uy URU,DF,Getafe,23-180,1997,25,5,0,0,25,20,2,47,24,29,0,1,0,271,66,63,51.2,Matches
Javier Ontiveros\Javier-Ontiveros,es ESP,FWMF,Huesca,23-232,1997,10.2,5,0,0,27,33,0,20,12,19,0,0,0,83,5,14,26.3,Matches
Fabián Orellana\Fabian-Orellana,cl CHI,MFFW,Valladolid,35-092,1986,23,5,0,0,26,54,4,55,15,18,0,0,0,158,12,50,19.4,Matches
Mikel Oyarzabal\Mikel-Oyarzabal,es ESP,FWMF,Real Sociedad,24-008,1997,22.4,1,0,0,24,33,15,51,16,13,1,0,0,152,17,40,29.8,Matches
Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,28-346,1992,33,1,0,0,0,3,0,0,0,0,0,0,0,127,0,0,,Matches
Helibelton Palacios\Helibelton-Palacios,co COL,DF,Elche,27-324,1993,5.5,0,0,0,3,5,0,4,5,11,0,0,0,30,5,5,50,Matches
Ante Palaversa\Ante-Palaversa,hr CRO,MFFW,Getafe,21-023,2000,0.1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,Matches
Daniel Parejo\Daniel-Parejo,es ESP,MF,Villarreal,32-013,1989,30.3,4,0,0,31,49,0,36,28,48,0,0,0,287,20,19,51.3,Matches
Thomas Partey\Thomas-Partey,gh GHA,MF,Atlético Madrid,27-320,1993,2.2,1,0,0,5,1,0,0,2,7,0,0,0,26,3,1,75,Matches
Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Valencia,30-154,1990,25.2,5,0,0,15,25,0,0,46,10,1,1,0,218,58,36,61.7,Matches
Alfonso Pedraza\Alfonso-Pedraza,es ESP,DF,Villarreal,25-020,1996,21.3,8,0,0,39,24,1,82,25,21,2,0,1,175,38,22,63.3,Matches
Pedri\Pedri,es ESP,MF,Barcelona,18-155,2002,23.7,2,0,0,16,38,0,10,30,28,1,0,0,161,6,10,37.5,Matches
Facundo Pellistri\Facundo-Pellistri,uy URU,MF,Alavés,19-130,2001,4.7,0,0,0,4,7,0,8,4,4,0,0,0,38,6,12,33.3,Matches
Rubén Peña\Ruben-Pena,es ESP,DF,Villarreal,29-285,1991,10.1,1,0,0,17,14,0,30,10,15,0,0,0,89,15,11,57.7,Matches
Pepe\Pepe,es ESP,DF,Granada,21-058,2000,1.8,0,0,0,2,1,0,0,1,4,0,1,0,20,1,3,25,Matches
Alberto Perea\Alberto-Perea,es ESP,MF,Cádiz,30-131,1990,15.6,0,0,0,4,33,1,33,29,13,0,0,0,95,6,16,27.3,Matches
Iñigo Pérez\Inigo-Perez,es ESP,MFDF,Osasuna,33-101,1988,14.1,4,1,1,13,11,0,25,9,13,0,0,0,112,12,25,32.4,Matches
