Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Sunderland,25,1990,19.8,2,0,0,11,15,6,56,46,28,0,1,0,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Crystal Palace,25,1990,7.9,1,0,0,3,2,0,22,14,5,0,0,0,Matches
Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,30,1985,16.9,7,0,0,41,26,0,86,24,17,0,0,0,Matches
Albert Adomah\Albert-Adomah,gh GHA,MF,Middlesbrough,28,1987,1.4,0,0,0,3,2,0,9,2,4,0,0,0,Matches
Adrián\Adrian,es ESP,GK,West Ham,29,1987,16,1,0,0,0,3,0,0,0,0,0,0,0,Matches
Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,30,1986,4.3,0,0,0,3,7,2,15,5,2,0,0,0,Matches
Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,23,1993,16.2,1,0,0,22,13,14,3,6,9,0,0,0,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,28,1988,26.7,4,1,0,23,34,23,18,4,14,1,0,0,Matches
Dan Agyei\Dan-Agyei,eng ENG,FW,Burnley,19,1997,0.3,0,0,,1,,,,,,,,,Matches
Ola Aina\Ola-Aina,ng NGA,DFMF,Chelsea,19,1996,0.3,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,21,1995,8.2,0,0,0,3,3,0,2,9,14,0,0,0,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Chelsea,21,1995,1.1,1,0,0,1,0,0,0,2,3,0,0,0,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,26,1989,26.8,5,0,0,21,20,2,212,38,45,0,0,0,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,27,1989,28.9,1,0,0,9,5,0,6,26,35,0,0,0,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,MFDF,Liverpool,17,1998,1.9,0,0,0,1,2,0,6,2,2,0,0,0,Matches
Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,26,1990,32.6,9,0,0,29,59,0,51,63,52,1,0,0,Matches
Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,20,1996,33.7,4,0,0,50,76,11,22,13,40,4,0,0,Matches
Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,24,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Alonso\Marcos-Alonso,es ESP,MF,Chelsea,25,1990,29.9,2,0,0,25,20,3,102,43,38,0,0,0,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,MF,Leicester City,21,1994,18.6,3,0,0,28,9,0,3,27,29,0,0,0,Matches
Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,24,1992,15.7,5,0,0,26,5,0,0,31,23,0,2,0,Matches
Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,29,1987,23.2,4,0,0,47,36,2,129,27,35,0,1,0,Matches
Victor Anichebe\Victor-Anichebe,ng NGA,FWMF,Sunderland,28,1988,13.5,2,0,0,25,33,7,38,9,8,0,0,0,Matches
Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,26,1990,27,5,2,1,30,49,18,94,28,28,1,1,0,Matches
Ikechi Anya\Ikechi-Anya,sco SCO,FWMF,Watford,28,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Álvaro Arbeloa\Alvaro-Arbeloa,es ESP,DF,West Ham,33,1983,2.9,3,0,0,5,3,0,6,9,4,0,0,0,Matches
Scott Arfield\Scott-Arfield,ca CAN,MF,Burnley,27,1988,23.4,3,0,0,37,18,3,71,34,27,1,0,0,Matches
Marko Arnautovi?\Marko-Arnautovic,at AUT,MFFW,Stoke City,27,1989,30.2,9,1,0,40,31,33,112,29,27,0,0,0,Matches
Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,26,1989,32.9,12,2,1,37,46,0,22,50,66,0,0,0,Matches
Joel Asoro\Joel-Asoro,se SWE,FW,Sunderland,17,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,27,1989,10.4,1,0,0,14,22,8,9,4,12,0,0,0,Matches
Daniel Ayala\Daniel-Ayala,es ESP,DF,Middlesbrough,25,1990,10.2,3,0,0,15,3,1,6,27,8,0,0,0,Matches
André Ayew\Andre-Ayew,gh GHA,MFFW,West Ham,26,1989,16,1,0,0,13,27,6,7,11,12,0,0,0,Matches
Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,24,1991,9.6,1,0,0,18,22,6,19,8,12,0,0,0,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,26,1989,38,4,0,0,28,24,2,43,71,66,1,0,0,Matches
