Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Ewandro\Ewandro,br BRA,FWMF,Udinese,20,1996,0.7,0,0,0,2,0,0,1,0,2,0,0,0,Matches
Diego Falcinelli\Diego-Falcinelli,it ITA,FW,Crotone,25,1991,34.7,7,0,0,78,84,46,19,18,23,1,0,0,Matches
Diego Falcinelli\Diego-Falcinelli,it ITA,FW,Sassuolo,25,1991,0.2,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Iago Falque\Iago-Falque,es ESP,FWMF,Torino,26,1990,28,2,0,0,20,22,20,95,33,27,1,0,0,Matches
Paolo Faragò\Paolo-Farago,it ITA,MF,Cagliari,23,1993,3.9,1,0,0,9,9,0,7,7,15,0,0,0,Matches
Davide Faraoni\Davide-Faraoni,it ITA,DF,Udinese,24,1991,3.7,2,0,0,8,1,0,13,6,16,0,1,0,Matches
Diego Farias\Diego-Farias,br BRA,MFFW,Cagliari,26,1990,13,4,0,0,20,15,7,31,12,11,2,0,0,Matches
Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,29,1987,34.6,3,0,0,25,20,1,3,103,46,0,0,0,Matches
Nicolò Fazzi\Nicolo-Fazzi,it ITA,DFMF,Crotone,21,1995,0.1,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Sampdoria,21,1994,19,2,0,0,21,40,3,121,11,13,0,0,0,Matches
Matías Fernández\Matias-Fernandez,cl CHI,MF,Milan,30,1986,7.2,1,0,0,10,13,0,16,2,13,0,0,0,Matches
Alex Ferrari\Alex-Ferrari,it ITA,DF,Bologna,22,1994,1,0,0,0,0,1,0,0,1,1,0,0,0,Matches
