Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
121,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,23,1995,26.2,2,1,1,24,49,1,38,12,24,0,0,0,259,9,7,56.3,Matches
122,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,30,1988,31.9,4,0,0,24,25,0,2,34,24,0,2,0,318,65,36,64.4,Matches
123,Kouadio-Yves Dabila\Kouadio-Yves-Dabila,ci CIV,DF,Lille,21,1997,8.7,2,0,0,6,3,0,0,2,9,0,1,0,90,4,10,28.6,Matches
124,Abdoulaye Dabo\Abdoulaye-Dabo,fr FRA,FW,Nantes,17,2001,1.3,0,0,0,2,2,0,1,0,0,0,0,0,8,0,2,0,Matches
125,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,19,1998,10.2,2,0,0,19,6,1,22,4,11,0,0,0,66,3,12,20,Matches
126,Dante\Dante,br BRA,DF,Nice,34,1983,35.8,11,0,0,43,20,1,4,34,39,0,1,0,323,49,34,59,Matches
127,Lucas Deaux\Lucas-Deaux,fr FRA,MF,Guingamp,29,1988,13.2,4,0,0,33,12,2,14,10,35,0,0,0,134,22,24,47.8,Matches
128,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,33,1985,21.6,5,1,1,35,20,7,67,24,22,0,2,0,204,68,36,65.4,Matches
129,Romain Del Castillo\Romain-Del-Castillo,fr FRA,FWMF,Rennes,22,1996,14.9,1,0,0,31,21,3,47,14,23,0,0,0,129,19,24,44.2,Matches
130,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,26,1991,34.6,4,0,0,91,54,25,116,10,20,0,0,0,198,97,122,44.3,Matches
131,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,22,1996,22.4,1,0,0,35,13,17,13,5,9,3,0,0,87,32,46,41,Matches
132,Jessy Deminguet\Jessy-Deminguet,fr FRA,MFFW,Caen,20,1998,14.1,2,0,0,22,14,0,6,13,28,0,0,0,129,12,11,52.2,Matches
133,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,23,1995,30.6,2,0,0,14,10,0,2,24,22,0,0,0,278,37,25,59.7,Matches
134,Memphis Depay\Memphis-Depay,nl NED,FWMF,Lyon,24,1994,30.4,5,0,0,36,33,11,78,7,15,0,0,0,158,7,13,35,Matches
135,Clément Depres\Clement-Depres,fr FRA,FW,Nîmes,23,1994,4.9,1,0,0,13,6,1,2,1,4,0,0,0,27,36,24,60,Matches
136,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,30,1988,25.8,2,0,0,11,19,6,89,20,19,1,0,0,165,0,1,0,Matches
137,Boulaye Dia\Boulaye-Dia,sn SEN,FW,Reims,21,1996,8.3,2,0,0,9,13,2,3,1,7,1,0,0,46,16,28,36.4,Matches
138,Moussa Diaby\Moussa-Diaby,fr FRA,MFFW,Paris S-G,19,1999,12.7,1,0,0,15,6,2,28,10,12,0,0,0,73,1,9,10,Matches
139,Bafodé Diakité\Bafode-Diakite,fr FRA,DF,Toulouse,17,2001,7,2,0,0,8,7,0,4,9,7,0,1,0,77,19,10,65.5,Matches
140,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,26,1992,5.5,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,,Matches
141,Mustapha Diallo\Mustapha-Diallo,sn SEN,MF,Nîmes,32,1986,5.1,5,0,0,20,10,0,2,11,14,0,0,0,79,12,4,75,Matches
142,Lassana Diarra\Lassana-Diarra,fr FRA,MF,Paris S-G,33,1985,1.8,0,0,0,6,3,0,0,2,2,0,0,0,14,1,1,50,Matches
143,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,28,1989,32.7,5,1,0,35,17,2,40,25,28,0,1,0,326,46,52,46.9,Matches
144,Étienne Didot\Etienne-Didot,fr FRA,MF,Guingamp,35,1983,23.4,4,0,0,42,28,2,21,22,35,0,0,0,352,22,25,46.8,Matches
145,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,27,1991,14.9,5,0,0,29,12,2,10,8,16,0,0,0,114,4,16,20,Matches
146,Ismaël Diomandé\Ismael-Diomande,ci CIV,MFDF,Caen,25,1992,14.4,5,1,1,27,19,1,3,8,17,0,0,0,137,8,4,66.7,Matches
147,Lois Diony\Lois-Diony,fr FRA,FW,Saint-Étienne,25,1992,17.7,3,0,0,29,28,6,28,2,12,0,0,0,86,23,37,38.3,Matches
148,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,18,2000,8.2,1,0,0,18,11,1,12,13,8,0,0,0,49,5,4,55.6,Matches
149,Assane Dioussé\Assane-Diousse,sn SEN,MF,Saint-Étienne,20,1997,2.4,0,0,0,2,3,0,2,1,6,0,0,0,34,2,2,50,Matches
150,Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,20,1998,1.8,0,0,0,0,0,0,0,2,1,0,0,0,17,5,2,71.4,Matches
151,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Nantes,25,1992,1,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,,Matches
152,Alexander Djiku\Alexander-Djiku,gh GHA,DF,Caen,23,1994,30.6,9,1,0,51,43,1,0,52,38,0,2,0,358,62,41,60.2,Matches
153,Papy Djilobodji\Papy-Djilobodji,sn SEN,DFFW,Guingamp,29,1988,1.9,1,1,0,3,0,0,1,0,1,0,0,0,22,8,3,72.7,Matches
154,Keagan Dolly\Keagan-Dolly,za RSA,FW,Montpellier,25,1993,1,0,0,0,2,2,0,1,0,1,0,0,0,7,0,3,0,Matches
155,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Lille,20,1997,11.8,1,0,0,14,13,0,0,11,11,0,0,0,88,38,13,74.5,Matches
156,Mathieu Dossevi\Mathieu-Dossevi,tg TOG,FWMF,Toulouse,30,1988,27.4,0,0,0,30,46,19,113,26,31,1,0,0,168,6,22,21.4,Matches
157,Moussa Doumbia\Moussa-Doumbia,ml MLI,FWMF,Reims,23,1994,17.8,5,0,0,30,68,10,29,5,18,1,0,0,147,9,21,30,Matches
158,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Rennes,21,1996,6.7,0,0,0,7,7,1,5,1,8,0,0,0,59,11,5,68.8,Matches
159,Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,24,1993,22.7,6,0,0,25,14,1,22,11,21,0,0,0,181,13,10,56.5,Matches
160,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,23,1994,22.7,2,0,0,30,15,2,78,19,34,0,0,0,236,27,21,56.3,Matches
161,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,25,1993,10.4,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,,Matches
162,Jimmy Durmaz\Jimmy-Durmaz,se SWE,MFFW,Toulouse,29,1989,21.1,5,0,0,28,19,1,40,12,27,0,0,0,173,4,18,18.2,Matches
163,Félix Eboa Eboa\Felix-Eboa-Eboa,cm CMR,DF,Guingamp,21,1997,27,5,0,0,25,18,0,10,26,34,0,1,0,317,80,38,67.8,Matches
164,Björn Engels\Bjorn-Engels,be BEL,DF,Reims,23,1994,33,4,0,0,21,17,2,4,23,9,0,0,1,271,70,38,64.8,Matches
165,Lucas Evangelista\Lucas-Evangelista,br BRA,FWMF,Nantes,23,1995,8,0,0,0,19,31,0,17,5,16,0,0,0,72,14,12,53.8,Matches
166,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Nantes,26,1992,2.3,1,0,0,8,9,0,4,1,1,1,0,0,20,0,4,0,Matches
167,Fábio\Fabio,br BRA,DF,Nantes,28,1990,14.2,4,1,0,18,19,1,32,19,34,0,1,0,113,13,11,54.2,Matches
168,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,31,1987,10.7,2,0,0,6,17,0,5,6,12,0,0,0,107,6,16,27.3,Matches
169,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Monaco,20,1998,1,1,0,0,3,2,0,0,1,1,0,0,0,8,0,1,0,Matches
170,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Caen,29,1988,36,6,0,0,43,89,4,64,22,30,0,0,0,390,11,21,34.4,Matches
171,Radamel Falcao\Radamel-Falcao,co COL,FW,Monaco,32,1986,28.4,10,0,0,70,63,14,7,5,17,1,1,0,112,62,77,44.6,Matches
172,Nabil Fekir\Nabil-Fekir,fr FRA,MF,Lyon,25,1993,22.1,5,0,0,44,65,18,38,11,26,1,0,0,114,10,27,27,Matches
173,Yassin Fekir\Yassin-Fekir,fr FRA,FW,Lyon,21,1997,0.1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,,Matches
174,Juan Ferney Otero\Juan-Ferney-Otero,co COL,FWMF,Amiens,23,1995,24.2,1,0,0,29,39,14,61,15,17,0,0,0,186,30,54,35.7,Matches
